meta_prompt,obj1,obj2,obj3,style1,style2,style3,synthetic_prompt
"In one sentence, Describe a real scene about suitcase.",suitcase,,,,,,"a woman is standing in an airport terminal, holding a suitcase in one hand and a boarding pass in the other."
"In one sentence, Describe a night scene about bottle.",bottle,,,,,,"a night sky filled with stars twinkles above a beach, where empty bottles lie scattered in the sand."
"In one sentence, Describe a night scene about backpack.",backpack,,,,,,"a backpack sits alone in a moonlit park, its contents unknown, as the night sky twinkles above."
"In one sentence, Describe a real scene about giraffe.",giraffe,,,,,,"a giraffe stands tall in an open grassland, its long neck stretching up towards the sky."
"In one sentence, Describe a animation scene about handbag.",handbag,,,,,,"a handbag is animatedly bouncing around a room, its contents spilling out as it goes."
"In one sentence, Describe a night scene about cat.",cat,,,,,,"a black cat is perched atop a fence in the moonlight, looking out over a peaceful, tranquil night."
"In one sentence, Describe a black and white scene about stop sign.",stop sign,,,,,,a stark black and white scene of a stop sign surrounded by an empty street.
"In one sentence, Describe a sketch scene about chair.",chair,,,,,,"a comedic sketch scene about a chair could involve a character trying to sit in it, but it keeps collapsing every time they do."
"In one sentence, Describe a sketch scene about knife.",knife,,,,,,"a man is standing in a kitchen, nervously holding a large kitchen knife, looking around for something or someone."
"In one sentence, Describe a sketch scene about snowboard.",snowboard,,,,,,"a group of friends are snowboarding down a mountain, laughing and enjoying the snowy terrain."
"In one sentence, Describe a colored scene about teddy bear.",teddy bear,,,,,,"a soft, brown teddy bear sits in a bright, sunlit meadow filled with vibrant yellow and orange wildflowers."
"In one sentence, Describe a colored scene about frisbee.",frisbee,,,,,,a vivid rainbow of colors fills the sky as frisbee players throw discs back and forth in the park.
"In one sentence, Describe a morning scene about cow.",cow,,,,,,"a peaceful morning scene of a cow grazing in a lush, green meadow, with the sun rising in the background."
"In one sentence, Describe a night scene about clock.",clock,,,,,,"the night sky is lit up by the stars and the moon, while the clock's ticking sound echoes through the darkness."
"In one sentence, Describe a real scene about person.",person,,,,,,"a person is sitting in a park, reading a book and enjoying the sunshine."
"In one sentence, Describe a sketch scene about parking meter.",parking meter,,,,,,a driver is frantically searching for change to feed a parking meter before the time runs out.
"In one sentence, Describe a night scene about cat.",cat,,,,,,"a night scene of a cat curled up in a cozy blanket, purring softly in the moonlight."
"In one sentence, Describe a sunny scene about bear.",bear,,,,,,"a bear is happily playing in a sunny meadow filled with wildflowers, basking in the warmth of the sun."
"In one sentence, Describe a black and white scene about oven.",oven,,,,,,a black and white scene of an old-fashioned oven with white smoke billowing out of the top.
"In one sentence, Describe a cloudy scene about kite.",kite,,,,,,"the sky is full of grey clouds, and a few colorful kites can be seen dancing in the wind."
"In one sentence, Describe a real scene about motorcycle.",motorcycle,,,,,,"a biker rides their motorcycle down a winding mountain road, surrounded by beautiful scenery."
"In one sentence, Describe a colored scene about parking meter.",parking meter,,,,,,"a bright yellow parking meter stands out against the dull gray pavement, its red numbers counting down the minutes until the parking spot must be vacated."
"In one sentence, Describe a rainy scene about sink.",sink,,,,,,"a rainy scene about a sink would include the sound of rain pattering on the roof and windows, the sight of raindrops cascading down the window panes and the smell of dampness"
"In one sentence, Describe a cloudy scene about elephant.",elephant,,,,,,"an elephant is slowly walking through a foggy, cloudy landscape, its trunk swaying gracefully back and forth."
"In one sentence, Describe a animation scene about toaster.",toaster,,,,,,"a toaster is bouncing around a kitchen, dodging flying utensils and narrowly avoiding being boiled in a pot of water."
"In one sentence, Describe a morning scene about bear.",bear,,,,,,"a bear is slowly waking up in its den, stretching and yawning in the early morning sunlight."
"In one sentence, Describe a real scene about tie.",tie,,,,,,"a man is standing in front of a mirror, carefully knotting a navy blue tie around his neck."
"In one sentence, Describe a colored scene about person.",person,,,,,,a person is standing in a sunlit meadow filled with vibrant wildflowers of every color.
"In one sentence, Describe a night scene about orange.",orange,,,,,,"the night sky is illuminated by an orange glow, casting a peaceful and calming atmosphere."
"In one sentence, Describe a sunny scene about bowl.",bowl,,,,,,"a sunny scene of a bowl filled with bright yellow lemons sitting in a lush green meadow, basking in the warm sunshine."
"In one sentence, Describe a animation scene about handbag.",handbag,,,,,,"a handbag is animatedly hopping around a room, its contents spilling out as it goes."
"In one sentence, Describe a real scene about toothbrush.",toothbrush,,,,,,"a woman is brushing her teeth with a blue toothbrush, her face scrunched up in concentration as she cleans her teeth."
"In one sentence, Describe a morning scene about scissors.",scissors,,,,,,"a pair of scissors glinting in the morning sun, ready to be used for the day's tasks."
"In one sentence, Describe a night scene about cup.",cup,,,,,,"a moonlit night with a clear sky, and a cup of steaming hot chocolate in the center of it all."
"In one sentence, Describe a cloudy scene about banana.",banana,,,,,,"a cloudy sky looms overhead as a bunch of bright yellow bananas hang from a tree, swaying gently in the breeze."
"In one sentence, Describe a animation scene about truck.",truck,,,,,,"a truck is driving down a winding road, its headlights illuminating the surrounding countryside."
"In one sentence, Describe a morning scene about scissors.",scissors,,,,,,"a morning sunbeam illuminates a pair of scissors sitting atop a desk, ready to be used."
"In one sentence, Describe a rainy scene about train.",train,,,,,,"a train chugs slowly through a grey, rainy landscape, its windows fogged up and its whistle echoing through the misty air."
"In one sentence, Describe a colored scene about bed.",bed,,,,,,"a cozy bedroom bathed in warm, vibrant hues of red, orange, and yellow."
"In one sentence, Describe a real scene about refrigerator.",refrigerator,,,,,,"the refrigerator hums quietly as the cold air flows out, keeping the food inside fresh and cool."
"In one sentence, Describe a morning scene about kite.",kite,,,,,,"a bright, sunny morning filled with children flying kites and laughing in delight."
"In one sentence, Describe a sunny scene about spoon.",spoon,,,,,,"a sunny scene of a spoon gleaming in the sun, reflecting its rays and glistening in the light."
"In one sentence, Describe a night scene about clock.",clock,,,,,,"the clock strikes midnight, illuminating the night sky with its bright, luminescent chimes."
"In one sentence, Describe a rainy scene about cake.",cake,,,,,,the rain patters softly against the window as the sweet scent of freshly baked cake fills the air.
"In one sentence, Describe a black and white scene about suitcase.",suitcase,,,,,,"a lone suitcase sits in the middle of a stark white room, illuminated by a single beam of light from a window, its black exterior standing out against the surrounding monochromatic backdrop."
"In one sentence, Describe a sketch scene about couch.",couch,,,,,,"a man and a woman are sitting on a couch, having an intimate conversation."
"In one sentence, Describe a colored scene about bicycle.",bicycle,,,,,,a bright yellow bicycle is riding through a field of vibrant green grass and wildflowers while a brilliant blue sky stretches out above.
"In one sentence, Describe a cloudy scene about person.",person,,,,,,"a person stands alone in a cloudy sky, surrounded by a thick blanket of grey clouds."
"In one sentence, Describe a black and white scene about tv.",tv,,,,,,a black and white scene of an old-fashioned television playing static on a wooden table in a dimly lit room.
"In one sentence, Describe a sketch scene about cat.",cat,,,,,,"a black cat is perched atop a windowsill, watching birds flit by in the sky outside."
"In one sentence, Describe a cloudy scene about toothbrush.",toothbrush,,,,,,"a cloudy sky looms overhead as a toothbrush lays abandoned on the sidewalk, its bristles damp from a recent rain shower."
"In one sentence, Describe a morning scene about broccoli.",broccoli,,,,,,"a bright morning sun shines down on a vibrant green broccoli field, with dew glistening on the leaves."
"In one sentence, Describe a rainy scene about baseball glove.",baseball glove,,,,,,"a lone baseball glove sits in the rain, its leather slowly absorbing the droplets as the sky rumbles with thunder."
"In one sentence, Describe a colored scene about sandwich.",sandwich,,,,,,"a bright yellow sun shines down on a picnic blanket laden with a variety of delicious sandwiches, from turkey and cheese to peanut butter and jelly."
"In one sentence, Describe a morning scene about dog.",dog,,,,,,"a fluffy white dog is happily running around in a sun-soaked meadow, chasing after butterflies and enjoying the morning."
"In one sentence, Describe a animation scene about zebra.",zebra,,,,,,"a zebra gallops across a grassy savannah, its black and white stripes standing out against the bright orange sunset."
"In one sentence, Describe a morning scene about couch.",couch,,,,,,"a cozy morning scene of someone snuggled up on the couch, a warm cup of coffee in hand and the sun streaming through the windows."
"In one sentence, Describe a sketch scene about cell phone.",cell phone,,,,,,"a group of friends are gathered in a cafe, all glued to their phones, laughing and chatting away."
"In one sentence, Describe a morning scene about potted plant.",potted plant,,,,,,"a bright morning sun streams through the window onto a lush potted plant, creating a peaceful and serene atmosphere."
"In one sentence, Describe a real scene about handbag.",handbag,,,,,,"a woman is standing in a store, looking at a selection of designer handbags and deciding which one to buy."
"In one sentence, Describe a sunny scene about microwave.",microwave,,,,,,"a sunny kitchen with the warm glow of the microwave humming in the background, filling the room with a cozy warmth."
"In one sentence, Describe a animation scene about bed.",bed,,,,,,"a cartoon character is jumping up and down on a bed, laughing and having a great time."
"In one sentence, Describe a real scene about horse.",horse,,,,,,"a beautiful white horse gallops across a grassy field, its mane and tail flowing in the wind."
"In one sentence, Describe a colored scene about toilet.",toilet,,,,,,a vibrant blue bathroom with a sparkling white toilet and a splash of yellow tiles around the sink.
"In one sentence, Describe a sunny scene about traffic light.",traffic light,,,,,,"a bright, sunny day with cars passing by a vibrant red, yellow, and green traffic light."
"In one sentence, Describe a morning scene about sports ball.",sports ball,,,,,,"a group of children playing a game of soccer in the early morning sunlight, their laughter and shouts of joy echoing through the park."
"In one sentence, Describe a sunny scene about teddy bear.",teddy bear,,,,,,"a teddy bear is happily lounging in the sun, enjoying the warmth and brightness of the day."
"In one sentence, Describe a sunny scene about elephant.",elephant,,,,,,"an elephant is leisurely walking through a sunny meadow, enjoying the warmth of the sun and the sound of the birds chirping."
"In one sentence, Describe a real scene about cell phone.",cell phone,,,,,,"a group of teenagers are sitting around a table in a cafe, laughing and chatting while texting on their phones."
"In one sentence, Describe a black and white scene about boat.",boat,,,,,,"a black-and-white scene of a small boat floating peacefully on a lake, surrounded by a misty fog."
"In one sentence, Describe a black and white scene about knife.",knife,,,,,,a stark black and white scene of a glinting knife lying on a stone floor.
"In one sentence, Describe a sketch scene about teddy bear.",teddy bear,,,,,,"a small teddy bear sits atop a bed, looking out the window with a content expression on its face."
"In one sentence, Describe a morning scene about bird.",bird,,,,,,a chorus of birds singing in the early morning light creates a peaceful atmosphere.
"In one sentence, Describe a sunny scene about surfboard.",surfboard,,,,,,a sunny beach scene with a surfer riding the waves on a brightly colored surfboard.
"In one sentence, Describe a sketch scene about keyboard.",keyboard,,,,,,a sketch scene about a keyboard could involve a musician playing a keyboard and singing a song about it.
"In one sentence, Describe a night scene about skis.",skis,,,,,,"a night scene about skis could include a starry sky illuminating a ski slope, with skiers gliding down the mountain in the moonlight."
"In one sentence, Describe a night scene about surfboard.",surfboard,,,,,,"the moonlight is glinting off the waves as a surfer rides their surfboard through the night, silhouetted against the horizon."
"In one sentence, Describe a colored scene about sheep.",sheep,,,,,,"the sun glints off the white wool of the grazing sheep, the grassy hills around them a patchwork of vibrant greens and blues."
"In one sentence, Describe a real scene about parking meter.",parking meter,,,,,,"a woman is walking up to a parking meter, inserting coins, and setting the timer before walking away to her destination."
"In one sentence, Describe a real scene about book.",book,,,,,,"a person is sitting in a cozy chair, reading a book with a cup of tea in hand and a blanket draped over their lap."
"In one sentence, Describe a black and white scene about bicycle.",bicycle,,,,,,"a lone bicyclist rides down a quiet street surrounded by tall trees, the only colors in the scene being shades of black and white."
"In one sentence, Describe a morning scene about elephant.",elephant,,,,,,"an elephant is slowly ambling through a dewy meadow at sunrise, its trunk swaying back and forth."
"In one sentence, Describe a colored scene about refrigerator.",refrigerator,,,,,,"a bright yellow refrigerator stands out against a light blue kitchen wall, full of colorful fruits and vegetables inside."
"In one sentence, Describe a night scene about airplane.",airplane,,,,,,the night sky is illuminated by the twinkling lights of planes flying overhead.
"In one sentence, Describe a morning scene about backpack.",backpack,,,,,,"a person is walking down a sunny street with a backpack on their back, ready to start their day."
"In one sentence, Describe a morning scene about bus.",bus,,,,,,"a bright morning sun shines on a busy street corner as the bus pulls up to the stop, its doors opening to let out the passengers and welcome the new ones."
"In one sentence, Describe a black and white scene about sports ball.",sports ball,,,,,,a black and white scene of a sports ball bouncing on a court surrounded by players in monochrome uniforms.
"In one sentence, Describe a rainy scene about car.",car,,,,,,"rain is pouring down, creating a glistening sheen on the hoods of cars parked along the street."
"In one sentence, Describe a rainy scene about remote.",remote,,,,,,"a remote, secluded area is illuminated by the soft glow of the grey sky, while the sound of raindrops pattering against the ground creates a peaceful atmosphere."
"In one sentence, Describe a morning scene about couch.",couch,,,,,,"a cozy morning scene on the couch might include a cup of coffee, a good book, and the sun streaming in through the windows."
"In one sentence, Describe a black and white scene about bus.",bus,,,,,,"a bus drives down a quiet street lined with black and white buildings, creating a stark contrast between the two colors."
"In one sentence, Describe a cloudy scene about car.",car,,,,,,"a cloudy scene of a car driving down a quiet road, with the clouds looming overhead."
"In one sentence, Describe a real scene about refrigerator.",refrigerator,,,,,,"a family is gathered around the refrigerator, discussing what to have for dinner."
"In one sentence, Describe a sketch scene about keyboard.",keyboard,,,,,,"a musician is playing a keyboard, with their fingers dancing across the keys as they create a beautiful melody."
"In one sentence, Describe a colored scene about bottle.",bottle,,,,,,"a bright blue bottle sits atop a lush green grassy field, reflecting the vibrant colors of a brilliant orange sunset."
"In one sentence, Describe a real scene about fork.",fork,,,,,,a person is using a fork to eat a plate of spaghetti.
"In one sentence, Describe a rainy scene about bear.",bear,,,,,,"a bear is standing in the rain, surrounded by a grey sky and droplets of water dripping from the trees."
"In one sentence, Describe a morning scene about book.",book,,,,,,"the morning sun shines through the window, illuminating a cozy reading nook filled with a stack of books and a warm cup of coffee."
"In one sentence, Describe a colored scene about bed.",bed,,,,,,"a cozy bedroom with a bright pink bedspread, lavender walls, and a sunny yellow bedside lamp."
"In one sentence, Describe a cloudy scene about toaster.",toaster,,,,,,"a toaster sits alone in a room, its shiny exterior barely visible through the thick grey clouds that fill the sky."
"In one sentence, Describe a cloudy scene about bottle.",bottle,,,,,,"a cloudy sky looms overhead as a lone bottle sits on the ground, its contents a mystery."
"In one sentence, Describe a sunny scene about skateboard.",skateboard,,,,,,"on a sunny day, a young skateboarder is happily cruising down the street, feeling the sun on their face and the wind in their hair."
"In one sentence, Describe a cloudy scene about airplane.",airplane,,,,,,"a cloudy sky is filled with planes flying in all directions, creating a surreal and peaceful atmosphere."
"In one sentence, Describe a rainy scene about cake.",cake,,,,,,"the rain patters gently on the window as a delicious cake bakes in the oven, filling the house with a warm, sweet aroma."
"In one sentence, Describe a sketch scene about skateboard.",skateboard,,,,,,"a teenage boy is skateboarding down a sidewalk, jumping over curbs and performing tricks with his board."
"In one sentence, Describe a sketch scene about sheep.",sheep,,,,,,"a flock of sheep is lazily grazing in a meadow on a sunny day, their soft bleating filling the air."
"In one sentence, Describe a animation scene about person.",person,,,,,,"a person is running around a colorful park, laughing and having a great time."
"In one sentence, Describe a night scene about wine glass.",wine glass,,,,,,"a night scene of a wine glass filled with a deep red liquid, reflecting the light of the moon."
"In one sentence, Describe a night scene about frisbee.",frisbee,,,,,,a group of friends are throwing a frisbee around in the park under the starry night sky.
"In one sentence, Describe a colored scene about bus.",bus,,,,,,"a bright yellow bus is driving through a rainbow-colored street, surrounded by vibrant flowers and trees."
"In one sentence, Describe a night scene about backpack.",backpack,,,,,,"a backpack sits in the moonlight, its straps and zippers illuminated by the silver light of the night sky."
"In one sentence, Describe a rainy scene about tennis racket.",tennis racket,,,,,,"a tennis racket sits abandoned in the rain, its strings drooping sadly in the wet weather."
"In one sentence, Describe a cloudy scene about cow.",cow,,,,,,a cloudy scene of a cow grazing in a field with a soft mist in the air.
"In one sentence, Describe a colored scene about motorcycle.",motorcycle,,,,,,a bright yellow motorcycle is speeding down a winding road surrounded by lush green trees and vibrant blue skies.
"In one sentence, Describe a animation scene about traffic light.",traffic light,,,,,,"a car pulls up to an intersection with a red traffic light, and the driver stops to wait for it to turn green."
"In one sentence, Describe a real scene about zebra.",zebra,,,,,,"a herd of zebras is grazing on the savanna, their black-and-white stripes standing out against the orange sunset."
"In one sentence, Describe a black and white scene about pizza.",pizza,,,,,,"a black and white scene of a family gathered around a pizza, laughing and talking."
"In one sentence, Describe a black and white scene about tennis racket.",tennis racket,,,,,,a black and white scene of a tennis racket resting on a white court surrounded by a black net.
"In one sentence, Describe a sketch scene about stop sign.",stop sign,,,,,,"a car stops abruptly at a red stop sign in the middle of an intersection, the driver looking both ways for oncoming traffic."
"In one sentence, Describe a colored scene about tie.",tie,,,,,,"a vibrant rainbow of ties hangs in the store window, each with its own unique pattern and color."
"In one sentence, Describe a cloudy scene about teddy bear.",teddy bear,,,,,,"a teddy bear sits alone in a park on a cloudy day, its soft fur ruffled by the gentle breeze."
"In one sentence, Describe a sunny scene about tv.",tv,,,,,,"a sunny scene on tv might include a family gathering outside in a beautiful garden, with the sun shining brightly on them."
"In one sentence, Describe a night scene about wine glass.",wine glass,,,,,,"a single wine glass sits on a table in a dimly lit room, glimmering in the soft moonlight."
"In one sentence, Describe a colored scene about dog.",dog,,,,,,"a golden retriever is running through a field of bright yellow sunflowers, its fur glinting in the sunlight."
"In one sentence, Describe a sketch scene about sports ball.",sports ball,,,,,,"two friends are playing catch with a sports ball, laughing and joking as they toss it back and forth."
"In one sentence, Describe a morning scene about tie.",tie,,,,,,"a man stands in front of a mirror, carefully knotting his tie in preparation for the day ahead."
"In one sentence, Describe a night scene about apple.",apple,,,,,,the night sky is filled with stars and the sweet scent of apples drifts through the air.
"In one sentence, Describe a animation scene about knife.",knife,,,,,,"a knife is animatedly slicing through the air, creating a sparkly trail of light behind it."
"In one sentence, Describe a real scene about zebra.",zebra,,,,,,"a herd of zebra is grazing on the grassy plains of the african savannah, their black and white stripes standing out against the golden sunset."
"In one sentence, Describe a sunny scene about horse.",horse,,,,,,"a beautiful sunny day with a horse galloping through a meadow, its mane and tail flowing in the breeze."
"In one sentence, Describe a cloudy scene about orange.",orange,,,,,,"a cloudy orange sky stretches out before you, the sun's rays barely visible through the thick blanket of clouds."
"In one sentence, Describe a cloudy scene about bed.",bed,,,,,,"a cloudy, grey sky blankets the bedroom, creating a peaceful, dreamy atmosphere."
"In one sentence, Describe a black and white scene about motorcycle.",motorcycle,,,,,,"a lone biker rides their motorcycle down a deserted highway, the only color in their monochromatic world being the bright yellow lines on the road."
"In one sentence, Describe a sunny scene about banana.",banana,,,,,,"a bright and sunny day with the sun shining down on a bunch of ripe, yellow bananas hanging from a tree."
"In one sentence, Describe a black and white scene about baseball bat.",baseball bat,,,,,,"a black and white scene of a baseball bat lying in the grass, with a stark contrast between the dark grass and the bright white of the bat."
"In one sentence, Describe a rainy scene about umbrella.",umbrella,,,,,,"a person stands in the rain, holding an umbrella over their head, while the raindrops splash against the colorful fabric."
"In one sentence, Describe a real scene about snowboard.",snowboard,,,,,,"a snowboarder is flying down a snowy mountain, carving through the powder and catching air off of jumps."
"In one sentence, Describe a cloudy scene about toothbrush.",toothbrush,,,,,,"a cloudy sky looms overhead as a toothbrush stands alone in a deserted park, its bristles glistening in the dull light."
"In one sentence, Describe a rainy scene about cup.",cup,,,,,,"a cup sits alone in a puddle of rainwater, its surface glistening in the grey light of the stormy day."
