original_prompts,edited_prompts_1,edited_prompts_2,edited_prompts_3,d1,d2,d3,min,avg
"a cloudy sky looms overhead as a bunch of bright yellow bananas hang from a tree, swaying gently in the breeze.",a cloudy sky looms overhead as a bunch of bright yellow bananas hang from a tree swaying in the breeze,a cloudy sky looms overhead as a bunch of bright yellow bananas sway gently in the breeze from a tree,as a bunch of bright yellow bananas hang from a tree swaying gently in the breeze the cloudy sky is looming overhead,20,44,75,24,46.3333333333333
"a night sketch scene of a remote and bench in a peaceful park, surrounded by trees and stars, could show a tranquil and calming atmosphere.",a night sketch of a remote and a bench in a peaceful park surrounded by trees and stars could show a tranquil and calming atmosphere,it could be a night scene of a remote and quiet bench in a peaceful park surrounded by trees and stars that shows a peaceful and calm,it could be a night sketch of a remote and peaceful bench in a peaceful park surrounded by trees and stars,21,51,72,21,48.0
"a snowboarder is carving down a freshly-powdered mountain, leaving a trail of snow behind them as they soar through the air.",a snowboarder is carving down a freshly-powdered mountain leaving a trail of snow behind him as they fly through the air,a snowboarder is carving down a freshly-powdered mountain and leaving behind a trail of snow as they fly through the air,when he's flying through the air he's carving down a freshly-powdered mountain,19,40,95,21,51.3333333333333
"a stop sign, toaster, and cow are animated in a rainy night scene, with the stop sign illuminated by the toaster's light and the cow grazing in the background.",a stop sign toaster and cow are animated in a rainy night scene with the stop sign illuminated by the toaster light and the cow grazing in the background,toaster and cow animated stop signs in a rainy night scene with the stop sign illuminated by the toaster's light and the cow grazing in the background,toaster and cow animated stop signs in a rainy night scene with the stop sign illuminated by the toaster light and the cow grazing,15,40,60,20,38.3333333333333
"a bright morning sun shines on a busy street corner as the bus pulls up to the stop, its doors opening to let out the passengers and welcome the new ones.",a bright morning sun shines on a busy street corner as the bus pulls up to the stop its doors open to let out passengers and welcome the new ones,as the bus pulls up to the stop its doors open to let out the passengers and welcome the new ones,it's a bright morning and the sun shines on a busy street corner as the bus pulls up to the stop,20,68,88,20,58.6666666666667
"at the dining table, the light from the vase casts a warm, inviting glow on the room.",at the table the light from the vase casts a warm inviting glow on the room,at the dining table the light from the vase is warm and inviting,a light from a vase illuminates the room warmly,20,40,69,20,43.0
"on a rainy, grey night, the muted light of the television flickered against the walls, illuminated by the soft glow of a mouse's light, while a wine glass glinted in the corner.",on a rainy grey night the muted light of the television flickered against the walls illuminated by the soft glow of a mouse's light while a wine glass glinted in,the light of the television flickered against the walls illuminated by the soft glow of a mouse's light while a glass glinted in the corner,the light of the television flickered against the walls illuminated by the soft glow of a mouse's light on a rainy grey night while a glass glowed in the corner,24,46,66,20,45.3333333333333
"on a cloudy morning, a person holds a spoon, looking out at the grey sky and the muted landscape.",on a cloudy morning a person holds a spoon looking at the grey sky and the muted landscape,one person holds a spoon looking at the grey sky and the muted landscape,one person holds a spoon and looks at the grey sky and the muted landscape on a cloudy morning,17,36,61,19,38.0
"on a cool, starry night, a cozy couch sits invitingly in front of a warm fireplace, beckoning one to curl up and relax.",on a cool starry night a cozy couch sits invitingly in front of a warm fireplace inviting one to curl up and relax,an inviting couch sits in front of a warm fireplace on a cool starry night inviting one to curl up and relax,an inviting couch sits in front of a warm fireplace on a cool starry night and invites one to curl up and enjoy the evening,19,72,91,19,60.6666666666667
"a cold winter morning is painted in black and white, with a lone snowboarder sitting on a bench overlooking a snow-covered mountain.",a cold winter morning is painted black and white with a single snowboarder sitting on a bench overlooking a snow-covered mountain,it's a cold winter morning with a lonely snowboarder sitting on a bench overlooking the snow-covered mountain,it's a cold winter morning with a single snowboarder sitting on a bench overlooking the snow-covered mountain in black and white,20,46,65,19,43.6666666666667
"a truck drives down a wet, monochromatic street, its headlights illuminating a bird perched on a hair drier in the rain.",a truck drives down a wet monochromatic street its headlights illuminate a bird perched on a hair dryer in the rain,a truck drives down a wet monochromatic street its headlights illuminate a bird perched in the rain on a hair dryer,on a wet monochromatic street the truck's headlights illuminate a bird perched in the rain on a hair-dryer,17,36,62,19,38.3333333333333
a cloudy sky provides the backdrop for a whimsical animation of scissors cutting broccoli in a seemingly endless loop.,cloudy skies provide the backdrop for a whimsical animation of scissors cutting broccoli in a seemingly endless loop,in a cloudy sky a whimsical animation of scissors cutting broccoli in a seemingly endless loop,in a cloudy sky we see scissors cutting broccoli in a seemingly endless loop,19,38,59,19,38.6666666666667
"a woman is walking down the street, holding an umbrella over her head with one hand and eating a sandwich with the other.",a woman walks down the street holding an umbrella over her head with one hand and eating a sandwich with the other,a woman walks down the street holding an umbrella over her head and eating a sandwich with the other hand,with one hand a woman walks down the street and with the other hand she is holding an umbrella over her head,19,37,77,18,44.3333333333333
"a group of boys on a sunny summer day are playing a game of baseball, each of them holding a wooden baseball bat in their hands.",a group of boys on a sunny summer day play baseball each holding a wooden baseball bat in their hands,on a sunny summer day a group of boys play baseball each holding a wooden baseball bat in their hands,an ensemble of boys play baseball on a sunny summer day each holding a wooden baseball bat,38,56,80,18,58.0
"a crisp winter morning with a dusting of snow on the ground, the sun just beginning to peek out from behind the trees, and a cyclist and skier gliding down the path,",with snow on the ground the sun just beginning to peek out from behind the trees and a cyclist and skier gliding down the path,with snow on the ground the sun peeking out from behind the trees and a cyclist and skier gliding down the path,with snow on the ground the sun peeking from behind the trees and a cyclist and a skier gliding down the path of the path,48,66,84,18,66.0
the night sky was filled with dark clouds as a giraffe watched a plane fly by while a tv flickered in the background.,the night sky was filled with dark clouds as a giraffe watched a plane pass while a tv flickered in the background,the night sky was filled with dark clouds as a giraffe watched a plane fly by in the background while a tv flickered,it was dark as the sky was filled with dark clouds as the giraffe watched the plane fly by in the background while the television flickered,19,43,61,18,41.0
"on a sunny morning, a bright yellow banana sits next to a blue toothbrush on the bathroom counter, ready to start the day.",on a sunny morning a bright yellow banana sits beside a blue toothbrush on the bathroom counter ready to start the day,on a sunny morning a bright yellow banana sits next to a blue toothbrush ready to start the day,at dawn a bright yellow banana sits on the bathroom counter next to a blue toothbrush ready to start the day,19,37,67,18,41.0
a rainy day with an orange umbrella and the sky filled with dark grey clouds creates a sketchy yet beautiful scene.,a rainy day with an orange umbrella and dark grey clouds create a sketchy yet beautiful scene,an orange umbrella and dark grey clouds create a rainy but beautiful scene,an orange umbrella and dark grey clouds create a rainy day that looks sketchy but beautiful,34,59,77,18,56.6666666666667
"a motorcycle zooms past a giraffe in a starry night sky, creating a magical animation scene.",a motorcycle zooms past a giraffe in the night sky creating a magical animation scene,motorcyclists are zooming past animals in the night sky creating a magical animation scene,motorcyclists are zooming past animals in the night sky creating a magical animation scene in the background,20,37,54,17,37.0
"a giraffe stands in a black and white moonlit night, holding a cup in one hand and a baseball bat in the other.",a giraffe stands in a black and white moonlight night holding a cup in one hand and a baseball bat in the other,there's a giraffe in a black and white moonlit night holding a cup and a baseball bat,in the black and white moonlight a giraffe holds a cup and a baseball bat in the other hand,15,43,60,17,39.3333333333333
"a father and son are in the backyard, throwing a baseball back and forth, with the son proudly showing off his newly purchased baseball glove.",a father and son are in the backyard throwing a baseball back and forth with the son proudly showing off his new baseball glove,the father and the son throw baseballs back and forth in the backyard with the son proudly showing off his newly purchased baseball glove,the father and the son throw baseballs back and forth in the backyard with the son proudly showing off his newly bought glove,25,53,70,17,49.3333333333333
"the sun is just beginning to rise, and the kitchen is filled with the smell of freshly-cooked breakfast as the microwave beeps to signal that the food is ready.",the sun is just beginning to rise and the kitchen smells of freshly cooked breakfast as the microwave beeps to signal that the food is ready,the sun is rising and the kitchen smells of freshly cooked breakfast as the microwave beeps to signal that the food is ready,sun rises and the kitchen smells of a freshly cooked breakfast as the microwave beeps to indicate that the food is ready,34,52,69,17,51.6666666666667
a sunny scene of a zebra skiing down a hill with its striped skis glistening in the sun.,a sunny scene of a zebra skiing down a hill with its striped skis shining in the sun,sunday scene of zebras skiing down the hill with their striped skis in the sun,sunday scene of zebras skipping down the hill in the sun,18,39,55,16,37.3333333333333
"the sun is streaming through the window onto the bed, the keyboard and the shiny red apple, creating a peaceful and beautiful morning scene.",the sun passes through the window onto the bed the keyboard and the shiny red apple create a peaceful and beautiful morning scene,through the window the sun hits the bed a shiny red apple creates a peaceful and beautiful morning scene,through the window the sun hits the bed a shiny red apple and creates a peaceful morning scene,26,60,76,16,54.0
"a laptop sits on a picnic blanket in a sun-drenched park, its bright screen reflecting the warm rays of the sun.",a laptop sits on a picnic blanket in a sun-drenched park with a bright screen reflecting the warm sun,a laptop in a sun-drenched park sits on a blanket reflecting the warm rays of sun,a laptop in a sun-soaked park sits on a picnic blanket reflecting the warm sun,29,55,71,16,51.6666666666667
a wet umbrella and a half-filled bottle of water sit beside a buzzing hair dryer on a sunny morning.,a wet umbrella and a half-filled bottle of water sit beside the buzzing hair dryer on a sunny morning,a wet umbrella and a half-filled bottle of water sit beside a buzzing hair dryer,it's a wet umbrella and a half-full bottle of water,16,32,65,16,37.6666666666667
"a remote and chair sit in a still and silent night, illuminated by the soft light of the moon hidden behind a blanket of thick, grey clouds.",a remote and a chair sit in a still and silent night illuminated by the soft light of the moon hidden behind thick grey clouds,it's a quiet silent night illuminated by the soft light of the moon hidden behind a blanket of thick grey clouds,it's a quiet silent night illuminated by soft moonlight hidden behind thick grey clouds,28,44,77,16,49.6666666666667
"a refrigerator and handbag come to life in a night-time animation scene, dancing and interacting with each other.",a refrigerator and a handbag come to life in a night-time animation scene dancing and interacting,in the night a refrigerator and a handbag come to life dancing and interacting with each other ,in the night a refrigerator and a handbag dance and interact with each other,31,47,65,16,47.6666666666667
"a laptop sits on a picnic blanket in a sun-drenched meadow, its screen reflecting the bright blue sky.",a laptop sits on a picnic blanket in a sun-drenched meadow its screen reflecting the blue sky,a laptop on a picnic blanket in a sun-drenched field reflects the bright blue sky,a laptop sits on a picnic blanket in a sun-drenched meadow,20,36,55,16,37.0
"on a rainy night, fork and bear huddled together under an umbrella, watching the raindrops sparkle in the streetlights.",on a rainy night fork and bear huddled under an umbrella watching the raindrops sparkle in the streetlights,fork and bear huddled under an umbrella watching the raindrops sparkle in the streetlights,fork and bear huddled under an umbrella watching the raindrops sparkle in the streetlights on a rainy night,22,39,55,16,38.6666666666667
"a zebra and a bird are huddled together under an umbrella in the rain, looking out at the gloomy landscape.",a zebra and a bird are huddled under an umbrella in the rain looking at the dark landscape,under an umbrella in the rain the zebra and the bird are looking out at the gloomy landscape,under an umbrella in the rain the zebra and the bird are huddled together looking at the gloomy countryside,32,58,74,16,54.6666666666667
"a lone suitcase sits in the middle of the dark, quiet night, waiting to be taken on its next journey.",a single suitcase sits in the middle of the dark quiet night waiting to be taken on its next journey,a single suitcase sits in the middle of a dark quiet night waiting for its next journey,it's a lonely suitcase waiting for its next journey in the dark dark night,15,31,74,16,40.0
"on a cloudy night, a sports ball is bouncing around while a teddy bear sits nearby watching.",on a cloudy night a sports ball bounces around while a teddy bear watches,it's a cloudy night and a teddy bear sits nearby watching,it's a cloudy night and a teddy bear is watching the ball,34,49,66,15,49.6666666666667
"a black and white animation of an airplane flying through a rainy sky, a giraffe galloping in the background, and scissors glinting in the moonlight.",an airplane flying through a rainy sky giraffe galloping in the background and scissors flying in the moonlight,an airplane flying through the rainy sky in black and white with giraffe galloping in the background and scissors glinting in the moonlight,an airplane flying through the rainy sky in black and white with giraffes in the background and scissors in the moonlight,50,65,83,15,66.0
"the sun rises over the horizon as the train chugs along, its whistle echoing in the crisp morning air.",the sun rises above the horizon as the train chugs its whistle echoing in the crisp morning air,the sun rises over the horizon as the train whistles in the crisp morning air,and as the train chugs along its whistle echoing in the crisp morning air the sun rises,22,37,54,15,37.6666666666667
"a hot dog is running around a bowl, its steam rising in the night air in an animated scene.",a hot dog is running around a bowl its steam rising in the night air,an animated scene shows a hot dog running around in a bowl its steam rising from the night,an animated scene shows a hot dog running around a bowl of hot water,34,55,70,15,53.0
"a black and white scene of a person typing on a keyboard, their hands rapidly hitting the keys in a flurry of movement.",a black and white scene of a person typing on a keyboard their hands hitting the keys in a flurry of movement,an image of a person typing on a keyboard their hands quickly hitting the keys in a flurry of movement,an image of a person typing on a keyboard their hands quickly hitting the keys in a flurry of movement on the keyboard,21,36,51,15,36.0
"on a rainy night, a lone surfboard is seen bobbing up and down in the choppy ocean waves, while a toilet flushes in the background.",on a rainy night a single surfboard is seen bobbing in the choppy ocean waves while a toilet flushes in the background,an empty surfboard is seen bobbing in the choppy ocean waves while a toilet flushes in the background,an empty surfboard is seen bobbing in the choppy ocean waves on a rainy night while the toilet is flushed,29,44,79,15,50.6666666666667
a hot dog is roasting in an oven while a cell phone is glowing with a vibrant blue night animation in the background.,a hot dog is roasting in an oven while a cell phone glows with a vibrant blue night animation in the background,while a hot dog is roasting in an oven the phone glows with a blue night animation in the background,while a hot dog is roasting in an oven a cell phone glows in the background with a bright blue night animation,19,34,58,15,37.0
a black bear is munching on a bright orange carrot under a starry night sky.,a black bear is eating a bright orange carrot under the starry night sky,he's eating an orange carrot under a starry night sky,he's eating an orange carrot under the stars,24,39,53,14,38.6666666666667
a black and white scene of a dog chasing a mouse through a grassy field.,a black and white scene of a dog following a mouse through a grassy field,an image of a dog chasing a mouse through grassy fields,an image of a dog chasing a mouse through the grassy field in black and white,19,33,52,14,34.6666666666667
"a dark, rainy night illuminated by the occasional flash of lightning, with the smell of wet soil and freshly-dug carrots in the air.",a dark rainy night illuminated by the occasional flash of lightning with the smell of wet soil and fresh carrots in the air,the night was dark and rainy illuminated occasionally by lightning with the smell of wet soil and freshly cut carrots in the air,the night was dark and rainy illuminated occasionally by lightning with the smell of wet soil and fresh carrots,19,39,53,14,37.0
"a remote person is sitting outside in the sun, working on their laptop, surrounded by a vibrant array of colors.",a remote person is sitting outside in the sun working on their laptop surrounded by a bright array of colors,a remote person is sitting in the sun working on his laptop surrounded by bright colors,it's a remote person sitting outside in the sun working on their laptop,18,40,54,14,37.3333333333333
"on a sunny morning, a mouse is joyfully riding a tiny surfboard on the crest of a gentle wave.",on a sunny morning a mouse rides a tiny surfboard on the crest of a gentle wave,at dawn a mouse rides a tiny surfboard on the crest of a gentle wave,at dawn a mouse rides a tiny surfboard on the crest of a gentle wave with happiness,28,42,56,14,42.0
"a teddy bear and a donut are enjoying a peaceful morning together, laughing and playing in a sun-soaked animation scene.",teddy bear and donut enjoy a peaceful morning together laughing and playing in a sun-soaked animation scene,the donut and the teddy bear are enjoying a peaceful morning laughing and playing in a sun-soaked animation scene,the donut and the teddy bear are enjoying a peaceful morning laughing and playing in the sun,24,38,62,14,41.3333333333333
"a zebra stands in a sun-drenched black and white morning, its stripes contrasting with the pristine white of the snow and the bright red of the fire hydrant near a sink.",a zebra stands in a black and white morning its stripes contrast with the white of the snow and the bright red of the fire hydrant near the sink,the stripes of the zebra contrast with the white of the snow and the bright red of the fire hydrant near a sink,the stripes of the zebra contrast with the white of the snow and the bright red of the fire hydrant near a sink in the morning,41,80,94,14,71.6666666666667
"on a sunny morning, a dog is running in the park, chasing after a frisbee being thrown by its owner with a remote control.",on a sunny morning a dog runs in the park chasing a frisbee thrown by its owner with a remote control,at dawn a dog runs in the park chasing a frisbee thrown by its owner with a remote control,one sunny morning a dog chases a frisbee that has been thrown by its owner with a remote control in the park,32,46,66,14,48.0
"a black and white scene of a bicycle parked outside a house in the rain, with a sink and remote nearby.",a black and white scene of a bicycle outside a house in the rain with a sink and a remote nearby,an image of a bicycle parked outside the house in the rain with a sink and a remote nearby,an image of a bicycle parked in the rain outside the house with a sink and a remote nearby,22,36,53,14,37.0
"a vase, bed and giraffe stand out starkly against the dark night sky as rain falls in a monochromatic scene.",a vase bed and a giraffe stand against the dark night sky as rain falls in a monochromatic scene,as rain falls in monochromatic scenes a vase bed and a giraffe stand out starkly against the dark night sky,as rain falls in monochromatic scenes a vase bed and a giraffe stand out against the dark sky,27,72,86,14,61.6666666666667
"on a sunny day, the sun's rays glint off the still surface of the sink, creating a peaceful and calming atmosphere.",on a sunny day the sun's rays shine off the still surface of the sink creating a peaceful and soothing atmosphere,sunrays glint off the still surface of the sink creating a peaceful and calming atmosphere,sunrays glint off the still surface of the sink creating a peaceful and calming atmosphere on a sunny day,21,35,49,14,35.0
"a black and white, sun-drenched scene of a hair dryer, keyboard, and frisbee lying in a grassy field.",a black and white sun-drenched scene of a hair dryer keyboard and frisbee in a grassy field,it was a black and white scene of a hair dryer keyboard and a frisbee on a grassy field,the scene of a hair dryer keyboard and frisbee in a grassy field is black and white,19,32,64,13,38.3333333333333
"a black and white scene of a snowboarder carving down a snowy mountain, surrounded by a peaceful winter landscape.",a black and white scene of a snowboarder carving a snowy mountain surrounded by a peaceful winter landscape,an image of a snowboarder carving down a snowy mountain surrounded by a peaceful winter landscape,an image of a snowboarder carving down a snowy mountain surrounded by the peaceful winter landscape is black and white,18,31,52,13,33.6666666666667
"the family gathered around the dining table, laughing and enjoying a delicious home-cooked meal together.",the family gathered around the table laughing and enjoying a delicious meal,the family laughed at the table and enjoyed a delicious meal together,everyone laughed and enjoyed a delicious meal,41,54,77,13,57.3333333333333
"a dark, cloudy sky looms overhead as a lonely train chugs along the tracks, its whistle echoing off the nearby fork in the road.",a dark cloudy sky looms overhead as a lonely train rolls along the tracks its whistle echoing from the nearby fork in the road,it's dark and cloudy as a lonely train chugs along the tracks its whistle echoing off the nearby fork in the road,it's dark and cloudy as a lonely train chugs along the tracks its whistle echoing from the nearby fork,21,34,50,13,35.0
a grey and bleak sky looms overhead as a lonely suitcase and frisbee are left abandoned on a deserted beach.,a grey sky looms overhead as a lonely suitcase and a frisbee are left abandoned on a deserted beach,as a lonely suitcase and frisbee are left abandoned on the deserted beach a grey sky looms overhead,as a lonely suitcase and frisbee are left abandoned on the deserted beach a grey and dark sky looms over the sky,25,77,90,13,64.0
"a baseball bat sits alone in the rain, its glossy finish glistening in the light of the stormy sky.",a baseball bat sits alone in the rain its glossy finish glistening in the light of the storm,a baseball bat sits alone in the rain glistening in the light of the stormy sky,a baseball bat sits alone in the rain glistening in the stormy sky,18,31,44,13,31.0
"a person is riding a motorcycle through a cloudy, foggy landscape, with the sun barely visible in the distance.",a person riding a motorcycle through a cloudy foggy landscape with the sun barely visible in the distance,a person is riding a motorcycle through a cloudy foggy landscape with the sun barely visible,man is riding a motorcycle through a cloudy foggy landscape the sun is barely visible,16,29,43,13,29.3333333333333
"the sun was shining brightly, casting a vibrant orange hue on the morning bus and sports ball sitting on the grassy field.",the sun was shining brightly casting a bright orange hue on the morning bus and on the grassy field,the sun was shining brightly on the morning bus and the sports ball was sitting on the grassy field,the sun was shining brightly on the morning bus and on the grassy field,38,50,62,12,50.0
"on a sunny morning, a baseball glove sits atop a dining table, with an apple beside it, creating a peaceful and inviting atmosphere.",on a sunny morning a baseball glove sits on a table with an apple beside it creating a peaceful and inviting atmosphere,one sunny morning a baseball glove sits on a table with an apple on the table creating a peaceful and inviting atmosphere,at dawn a baseball glove sits on a table with an apple on top creating a peaceful and welcoming atmosphere,23,35,52,12,36.6666666666667
"a night black and white scene of a baseball bat and sports ball in a dimly lit field, ready to be used for a game.",a night black and white scene of a baseball bat and a baseball ball in a dimly lit field ready to be used for a game,a black and white night scene of a baseball bat and a baseball ball in a dimly lit field ready to be used for a game,it's a black and white night with a baseball bat and a baseball ball on a dimly lit field ready for a game,22,34,47,12,34.3333333333333
"a man is standing in a kitchen, nervously holding a large kitchen knife, looking around for something or someone.",a man stands in a kitchen nervously holding a large knife looking for something,there's a man standing in the kitchen looking for something or someone,a man is standing in a kitchen looking for something,45,59,71,12,58.3333333333333
"on a cloudy night, a bus drives by with a flock of sheep running behind it, chasing a frisbee that is being thrown in the air.",on a cloudy night a bus drives by with a flock of sheep running behind him chasing a frisbee that is being thrown,one night on a cloudy night a bus passes behind it with a flock of sheep running after the frisbee that is being thrown in,one night a bus passes behind it with a flock of sheep chasing a frisbee being thrown in the air,26,48,60,12,44.6666666666667
"a backpack-laden pedestrian is standing at a stop sign, illuminated by the streetlights, in a quiet night scene.",a backpack-laden pedestrian stands at a stop light in a quiet night scene,at the stop sign a backpack-laden pedestrian stands in a quiet night scene illuminated by street lights,at the stop sign a backpacker stands in a quiet night scene lit by streetlights,50,62,81,12,64.3333333333333
"on a bright sunny morning, birds are chirping, the tv is playing in the background, and sheep are grazing in the nearby meadow.",on a bright sunny morning birds chirp the television plays in the background and sheep graze in the nearby meadow,at dawn birds chirp in the background the tv is playing and sheep graze in the nearby meadows,at dawn birds chirp in the background tv plays and sheep graze in the nearby field,37,67,79,12,61.0
"a black and white morning scene of a sports ball, bowl, and carrot sitting on a dewy field, ready to be enjoyed.",a black and white morning scene of a sports ball bowl and a carrot sitting on a dewy field ready to be enjoyed,a black and white morning scene of a bowl of sports balls and carrots sitting on a dewy field ready to be enjoyed,in the morning a black and white scene of a carrot bowl and a sports ball sitting on a dewy field ready to enjoy,15,27,48,12,30.0
"a cloudy morning with an orange sunrise, a toothbrush propped up in a wine glass, and a faint scent of citrus in the air.",a cloudy morning with an orange sunrise a toothbrush in a wine glass and a faint scent of citrus in the air,a cloudy morning with an orange sunrise a toothbrush in a wine glass and a faint citrus scent in the air,a cloudy morning with an orange sunrise a toothbrush in a glass of wine and a faint citrus scent,24,36,51,12,37.0
"on a cloudy night, a mouse cautiously scurries past a stop sign, clutching a knife in its tiny paws.",on a cloudy night a mouse cautiously scurries past a stop sign holding a knife in its paws,on cloudy nights a mouse scurries carefully past a stop sign clutching a knife in its paws,on cloudy nights a mouse scurries cautiously past a stop sign clutching a knife,24,37,49,12,36.6666666666667
"a skateboarder is doing tricks on their board in a park, performing jumps and spins while being cheered on by onlookers.",a skateboarder is doing tricks on his board in a park performing jumps and spins while being cheered by onlookers,a skateboarder is doing tricks in a park performing jumps and spins while being cheered by onlookers,on the board a skater performs tricks in a park performing jumps and spins while onlookers cheer him up,19,31,65,12,38.3333333333333
a bright blue sky with a golden tie dangling from a clothesline in the breeze.,a bright blue sky with a golden tie hanging from a clothesline in the breeze,a bright blue sky with a golden tie dangling from a clothesline,a bright blue sky with a golden tie hanging in the breeze from a clothesline,15,27,42,12,28.0
"a morning sun shines brightly on a baseball bat, a curious cat, and a patch of broccoli in a real-life outdoor scene.",the morning sun shines bright on a baseball bat a curious cat and a piece of broccoli in a real-life outdoor scene,the sun shines on a baseball bat a curious cat and a patch of broccoli in a real-life outdoor scene,the sun shines on the baseball bat the curious cat and the broccoli in a real-life scene,17,29,51,12,32.3333333333333
"on a cloudy morning, a dog is happily running around a fire hydrant while a broccoli is happily growing nearby.",on a cloudy morning a dog is happily running around a fire hydrant while a broccoli is happily growing near,on a cloudy morning a dog is happily running around a fire hydrant while a nearby broccoli is happily growing,it's a cloudy morning and the dog is happily running around the fire hydrant,15,27,66,12,36.0
"a lone vase and umbrella stand out against the inky night sky, their stark black and white contrast creating a surreal, dreamlike atmosphere.",their stark black and white contrast creates a surreal dreamlike atmosphere,their stark black and white contrast creates a surreal dreamlike atmosphere against the inky sky,their black and white contrast creates a surreal dreamlike atmosphere against the inky night sky,78,98,110,12,95.3333333333333
"a bus slowly drives through a foggy morning as a sandwich and toothbrush sit on the dashboard, creating a surreal and dreamy animation.",a bus slowly drives through a foggy morning as a sandwich and a toothbrush sit on the dashboard creating a surreal and dreamy animation,it's a foggy morning as a sandwich and toothbrush sit on the dashboard creating a surreal and dreamy animation,it's a foggy morning as a sandwich and toothbrush sit on the bus dashboard creating a surreal and dreamy scene,15,38,50,12,34.3333333333333
"a bright, sunny morning with a light mist in the air, and the smell of freshly-cooked broccoli wafting through the kitchen.",a bright sunny morning with a light mist in the air and the smell of freshly cooked broccoli in the kitchen,a bright sunny morning with a light mist in the air and the smell of freshly cooked broccoli,on a bright sunny morning with a light mist in the air and fresh broccoli in the kitchen smelling,27,42,53,11,40.6666666666667
a black and white photograph of a soccer ball in midair surrounded by a group of players in the middle of a game.,a black and white photograph of a soccer ball in midair surrounded by players in the middle of a game,photograph of a soccer ball in midair surrounded by a group of players in middle of a game,photograph of a soccer ball in midair surrounded by a group of players during a match,24,35,49,11,36.0
"a person is enjoying a sunny day, sitting in a park surrounded by trees and blooming flowers, the sun shining down on them and a cool breeze in the air.",person enjoys a sunny day sitting in a park with trees and blooming flowers the sun shining down on them and a cool breeze in the air,it's a sunny day sitting in a park with trees and blooming flowers the sun shining down on them and a cool breeze in the air,it's a sunny day sitting in a park with trees and blooming flowers the sun shining down on them and a cool breeze,34,45,56,11,45.0
"a black and white scene of a toaster sitting on a kitchen counter, ready to be used.",a black and white scene of a toaster on a kitchen counter ready for use,an image of the toaster sitting on the kitchen counter ready to be used,an image of the toaster sitting on the kitchen counter ready to be used is black and white,26,37,55,11,39.3333333333333
