meta_prompt,n1,obj1,obj2,chatgpt_out,synthetic_prompt
"one sentence of 2 words about baseball bat, the 2 words should be between double quotes.",2,,,"""wooden bat""","a sign written on it ""wooden bat"""
"one sentence of 1 words about toaster, the 1 words should be between double quotes.",1,,,"""toasty!""","a sign written on it ""toasty!"""
"one sentence of 3 words about backpack, the 3 words should be between double quotes.",3,,,"""carrying your stuff.""","a sign written on it ""carrying your stuff."""
"one sentence of 2 words about book, the 2 words should be between double quotes.",2,,,"""interesting read""","a sign written on it ""interesting read"""
"one sentence of 1 words about book, the 1 words should be between double quotes.",1,,,"""fascinating!""","a sign written on it ""fascinating!"""
"one sentence of 2 words about baseball bat, the 2 words should be between double quotes.",2,,,"""wooden bat""","a sign written on it ""wooden bat"""
"one sentence of 1 words about laptop, the 1 words should be between double quotes.",1,,,"""portable.""","a sign written on it ""portable."""
"one sentence of 1 words about motorcycle, the 1 words should be between double quotes.",1,,,"""thrilling!""","a sign written on it ""thrilling!"""
"one sentence of 3 words about mouse, the 3 words should be between double quotes.",3,,,"""small, furry, rodent""","a sign written on it ""small, furry, rodent"""
"one sentence of 2 words about snowboard, the 2 words should be between double quotes.",2,,,"""extreme fun""","a sign written on it ""extreme fun"""
"one sentence of 2 words about donut, the 2 words should be between double quotes.",2,,,"""tasty treat""","a sign written on it ""tasty treat"""
"one sentence of 1 words about suitcase, the 1 words should be between double quotes.",1,,,"""luggage.""","a sign written on it ""luggage."""
"one sentence of 2 words about couch, the 2 words should be between double quotes.",2,,,"""comfortable seating""","a sign written on it ""comfortable seating"""
"one sentence of 2 words about hair drier, the 2 words should be between double quotes.",2,,,"""hot air""","a sign written on it ""hot air"""
"one sentence of 3 words about hot dog, the 3 words should be between double quotes.",3,,,"""tasty tube steak.""","a sign written on it ""tasty tube steak."""
"one sentence of 1 words about bicycle, the 1 words should be between double quotes.",1,,,"""cycling!""","a sign written on it ""cycling!"""
"one sentence of 1 words about banana, the 1 words should be between double quotes.",1,,,"""banana!""","a sign written on it ""banana!"""
"one sentence of 3 words about boat, the 3 words should be between double quotes.",3,,,"""sailing is fun!""","a sign written on it ""sailing is fun!"""
"one sentence of 2 words about mouse, the 2 words should be between double quotes.",2,,,"""computer mouse""","a sign written on it ""computer mouse"""
"one sentence of 2 words about dog, the 2 words should be between double quotes.",2,,,"""man's best"".","a sign written on it ""man's best""."
"one sentence of 1 words about tie, the 1 words should be between double quotes.",1,,,"""tie-ing!""","a sign written on it ""tie-ing!"""
"one sentence of 2 words about train, the 2 words should be between double quotes.",2,,,"""choo choo""","a sign written on it ""choo choo"""
"one sentence of 1 words about horse, the 1 words should be between double quotes.",1,,,"""galloping!""","a sign written on it ""galloping!"""
"one sentence of 2 words about traffic light, the 2 words should be between double quotes.",2,,,"""stop go""","a sign written on it ""stop go"""
"one sentence of 1 words about fire hydrant, the 1 words should be between double quotes.",1,,,"""splashy!""","a sign written on it ""splashy!"""
"one sentence of 1 words about fork, the 1 words should be between double quotes.",1,,,"""forking""","a sign written on it ""forking"""
"one sentence of 3 words about apple, the 3 words should be between double quotes.",3,,,"""tasty, crunchy, yum!""","a sign written on it ""tasty, crunchy, yum!"""
"one sentence of 1 words about handbag, the 1 words should be between double quotes.",1,,,"""chic!""","a sign written on it ""chic!"""
"one sentence of 2 words about mouse, the 2 words should be between double quotes.",2,,,"""computer mouse""","a sign written on it ""computer mouse"""
"one sentence of 3 words about knife, the 3 words should be between double quotes.",3,,,"""sharp, dangerous, tool""","a sign written on it ""sharp, dangerous, tool"""
"one sentence of 1 words about snowboard, the 1 words should be between double quotes.",1,,,"""freestyle!""","a sign written on it ""freestyle!"""
"one sentence of 2 words about cow, the 2 words should be between double quotes.",2,,,"""mooing cow""","a sign written on it ""mooing cow"""
"one sentence of 3 words about person, the 3 words should be between double quotes.",3,,,"""smart, kind, driven""","a sign written on it ""smart, kind, driven"""
"one sentence of 2 words about hot dog, the 2 words should be between double quotes.",2,,,"""tasty treat""","a sign written on it ""tasty treat"""
"one sentence of 3 words about banana, the 3 words should be between double quotes.",3,,,"""tasty yellow fruit.""","a sign written on it ""tasty yellow fruit."""
"one sentence of 3 words about refrigerator, the 3 words should be between double quotes.",3,,,"""cold, refreshing, food""","a sign written on it ""cold, refreshing, food"""
"one sentence of 1 words about clock, the 1 words should be between double quotes.",1,,,"""ticktock.""","a sign written on it ""ticktock."""
"one sentence of 2 words about book, the 2 words should be between double quotes.",2,,,"""engrossing read""","a sign written on it ""engrossing read"""
"one sentence of 1 words about wine glass, the 1 words should be between double quotes.",1,,,"""elegant.""","a sign written on it ""elegant."""
"one sentence of 2 words about couch, the 2 words should be between double quotes.",2,,,"""comfortable seating""","a sign written on it ""comfortable seating"""
"one sentence of 1 words about laptop, the 1 words should be between double quotes.",1,,,"""laptop""","a sign written on it ""laptop"""
"one sentence of 2 words about suitcase, the 2 words should be between double quotes.",2,,,"""pack carefully"".","a sign written on it ""pack carefully""."
"one sentence of 3 words about hair drier, the 3 words should be between double quotes.",3,,,"""hot air blast""","a sign written on it ""hot air blast"""
"one sentence of 3 words about wine glass, the 3 words should be between double quotes.",3,,,"""elegant wine vessel""","a sign written on it ""elegant wine vessel"""
"one sentence of 1 words about bicycle, the 1 words should be between double quotes.",1,,,"""cycling!""","a sign written on it ""cycling!"""
"one sentence of 3 words about truck, the 3 words should be between double quotes.",3,,,"""trucks are big.""","a sign written on it ""trucks are big."""
"one sentence of 3 words about hair drier, the 3 words should be between double quotes.",3,,,"""hot air blowing""","a sign written on it ""hot air blowing"""
"one sentence of 1 words about microwave, the 1 words should be between double quotes.",1,,,"""quick!""","a sign written on it ""quick!"""
"one sentence of 3 words about toothbrush, the 3 words should be between double quotes.",3,,,"""clean your teeth""","a sign written on it ""clean your teeth"""
"one sentence of 3 words about bench, the 3 words should be between double quotes.",3,,,"""sitting on bench""","a sign written on it ""sitting on bench"""
"one sentence of 3 words about bear, the 3 words should be between double quotes.",3,,,"""bear is cuddly.""","a sign written on it ""bear is cuddly."""
"one sentence of 1 words about cow, the 1 words should be between double quotes.",1,,,"""moo!""","a sign written on it ""moo!"""
"one sentence of 1 words about car, the 1 words should be between double quotes.",1,,,"""wheels!""","a sign written on it ""wheels!"""
"one sentence of 1 words about mouse, the 1 words should be between double quotes.",1,,,"""scamper!""","a sign written on it ""scamper!"""
"one sentence of 3 words about fire hydrant, the 3 words should be between double quotes.",3,,,"""fire hydrant red.""","a sign written on it ""fire hydrant red."""
"one sentence of 2 words about fire hydrant, the 2 words should be between double quotes.",2,,,"""fire hydrant""","a sign written on it ""fire hydrant"""
"one sentence of 2 words about bed, the 2 words should be between double quotes.",2,,,"""sleep soundly""","a sign written on it ""sleep soundly"""
"one sentence of 1 words about toaster, the 1 words should be between double quotes.",1,,,"""toasty!""","a sign written on it ""toasty!"""
"one sentence of 1 words about scissors, the 1 words should be between double quotes.",1,,,"""snip!""","a sign written on it ""snip!"""
"one sentence of 1 words about airplane, the 1 words should be between double quotes.",1,,,"""fly!""","a sign written on it ""fly!"""
"one sentence of 2 words about backpack, the 2 words should be between double quotes.",2,,,"""carrying stuff""","a sign written on it ""carrying stuff"""
"one sentence of 2 words about sheep, the 2 words should be between double quotes.",2,,,"""woolly creatures""","a sign written on it ""woolly creatures"""
"one sentence of 1 words about bus, the 1 words should be between double quotes.",1,,,"""busy!""","a sign written on it ""busy!"""
"one sentence of 1 words about tv, the 1 words should be between double quotes.",1,,,"""entertaining.""","a sign written on it ""entertaining."""
"one sentence of 3 words about snowboard, the 3 words should be between double quotes.",3,,,"""snowboard is fun!""","a sign written on it ""snowboard is fun!"""
"one sentence of 3 words about truck, the 3 words should be between double quotes.",3,,,"""trucks are heavy.""","a sign written on it ""trucks are heavy."""
"one sentence of 3 words about toothbrush, the 3 words should be between double quotes.",3,,,"""clean your teeth!""","a sign written on it ""clean your teeth!"""
"one sentence of 1 words about bird, the 1 words should be between double quotes.",1,,,"""chirp!""","a sign written on it ""chirp!"""
"one sentence of 2 words about toilet, the 2 words should be between double quotes.",2,,,"""flush toilet""","a sign written on it ""flush toilet"""
"one sentence of 2 words about suitcase, the 2 words should be between double quotes.",2,,,"""carry on""","a sign written on it ""carry on"""
"one sentence of 1 words about elephant, the 1 words should be between double quotes.",1,,,"""giant!""","a sign written on it ""giant!"""
"one sentence of 3 words about broccoli, the 3 words should be between double quotes.",3,,,"""yum, broccoli!""","a sign written on it ""yum, broccoli!"""
"one sentence of 3 words about person, the 3 words should be between double quotes.",3,,,"""smart, creative, kind""","a sign written on it ""smart, creative, kind"""
"one sentence of 2 words about book, the 2 words should be between double quotes.",2,,,"""fascinating story!""","a sign written on it ""fascinating story!"""
"one sentence of 3 words about snowboard, the 3 words should be between double quotes.",3,,,"""snowboarding is fun!""","a sign written on it ""snowboarding is fun!"""
"one sentence of 1 words about bird, the 1 words should be between double quotes.",1,,,"""chirp!""","a sign written on it ""chirp!"""
"one sentence of 1 words about toilet, the 1 words should be between double quotes.",1,,,"""flush!""","a sign written on it ""flush!"""
"one sentence of 3 words about hot dog, the 3 words should be between double quotes.",3,,,"""tasty hot dog.""","a sign written on it ""tasty hot dog."""
"one sentence of 3 words about scissors, the 3 words should be between double quotes.",3,,,"""sharp, cutting tool.""","a sign written on it ""sharp, cutting tool."""
"one sentence of 1 words about umbrella, the 1 words should be between double quotes.",1,,,"""umbrella!""","a sign written on it ""umbrella!"""
"one sentence of 1 words about bed, the 1 words should be between double quotes.",1,,,"""sleepy!""","a sign written on it ""sleepy!"""
"one sentence of 2 words about bed, the 2 words should be between double quotes.",2,,,"""sleep comfortably""","a sign written on it ""sleep comfortably"""
"one sentence of 3 words about pizza, the 3 words should be between double quotes.",3,,,"""pizza is delicious!""","a sign written on it ""pizza is delicious!"""
"one sentence of 3 words about motorcycle, the 3 words should be between double quotes.",3,,,"""ride a motorcycle""","a sign written on it ""ride a motorcycle"""
"one sentence of 1 words about toilet, the 1 words should be between double quotes.",1,,,"""flush!""","a sign written on it ""flush!"""
"one sentence of 1 words about handbag, the 1 words should be between double quotes.",1,,,"""practicality.""","a sign written on it ""practicality."""
"one sentence of 3 words about train, the 3 words should be between double quotes.",3,,,"""train ride fun!""","a sign written on it ""train ride fun!"""
"one sentence of 2 words about stop sign, the 2 words should be between double quotes.",2,,,"""stop now""","a sign written on it ""stop now"""
"one sentence of 2 words about cow, the 2 words should be between double quotes.",2,,,"""mooing cows""","a sign written on it ""mooing cows"""
"one sentence of 3 words about toilet, the 3 words should be between double quotes.",3,,,"""toilet hygiene important""","a sign written on it ""toilet hygiene important"""
"one sentence of 1 words about banana, the 1 words should be between double quotes.",1,,,"""banana!""","a sign written on it ""banana!"""
"one sentence of 2 words about airplane, the 2 words should be between double quotes.",2,,,"""flying wings.""","a sign written on it ""flying wings."""
"one sentence of 2 words about keyboard, the 2 words should be between double quotes.",2,,,"""computer input""","a sign written on it ""computer input"""
"one sentence of 1 words about couch, the 1 words should be between double quotes.",1,,,"""comfortable!""","a sign written on it ""comfortable!"""
"one sentence of 3 words about sink, the 3 words should be between double quotes.",3,,,"""wash and rinse.""","a sign written on it ""wash and rinse."""
"one sentence of 2 words about skis, the 2 words should be between double quotes.",2,,,"""slippery fun!""","a sign written on it ""slippery fun!"""
"one sentence of 3 words about umbrella, the 3 words should be between double quotes.",3,,,"""umbrella protects us.""","a sign written on it ""umbrella protects us."""
"one sentence of 1 words about surfboard, the 1 words should be between double quotes.",1,,,"""surfboard!""","a sign written on it ""surfboard!"""
"one sentence of 3 words about traffic light, the 3 words should be between double quotes.",3,,,"""stop, go, wait""","a sign written on it ""stop, go, wait"""
"one sentence of 2 words about bicycle, the 2 words should be between double quotes.",2,,,"""cycling fun.""","a sign written on it ""cycling fun."""
"one sentence of 3 words about bicycle, the 3 words should be between double quotes.",3,,,"""ride a bicycle!""","a sign written on it ""ride a bicycle!"""
"one sentence of 2 words about baseball glove, the 2 words should be between double quotes.",2,,,"""catching glove.""","a sign written on it ""catching glove."""
"one sentence of 3 words about zebra, the 3 words should be between double quotes.",3,,,"""striped black-white.""","a sign written on it ""striped black-white."""
"one sentence of 2 words about car, the 2 words should be between double quotes.",2,,,"""fast driving""","a sign written on it ""fast driving"""
"one sentence of 1 words about clock, the 1 words should be between double quotes.",1,,,"""tick-tock!""","a sign written on it ""tick-tock!"""
"one sentence of 3 words about carrot, the 3 words should be between double quotes.",3,,,"""crunchy orange vegetable""","a sign written on it ""crunchy orange vegetable"""
"one sentence of 1 words about train, the 1 words should be between double quotes.",1,,,"""choo-choo!""","a sign written on it ""choo-choo!"""
"one sentence of 3 words about stop sign, the 3 words should be between double quotes.",3,,,"""stop on sight.""","a sign written on it ""stop on sight."""
"one sentence of 3 words about skateboard, the 3 words should be between double quotes.",3,,,"""skateboarding is fun!""","a sign written on it ""skateboarding is fun!"""
"one sentence of 2 words about carrot, the 2 words should be between double quotes.",2,,,"""crunchy vegetable""","a sign written on it ""crunchy vegetable"""
"one sentence of 2 words about dining table, the 2 words should be between double quotes.",2,,,"""eating surface""","a sign written on it ""eating surface"""
"one sentence of 3 words about bus, the 3 words should be between double quotes.",3,,,"""ride the bus""","a sign written on it ""ride the bus"""
"one sentence of 1 words about laptop, the 1 words should be between double quotes.",1,,,"""portable.""","a sign written on it ""portable."""
"one sentence of 1 words about banana, the 1 words should be between double quotes.",1,,,"""banana!""","a sign written on it ""banana!"""
"one sentence of 2 words about hair drier, the 2 words should be between double quotes.",2,,,"""hot air"".","a sign written on it ""hot air""."
"one sentence of 1 words about sandwich, the 1 words should be between double quotes.",1,,,"""yummy!""","a sign written on it ""yummy!"""
"one sentence of 3 words about toaster, the 3 words should be between double quotes.",3,,,"""toast gets hot!""","a sign written on it ""toast gets hot!"""
"one sentence of 1 words about kite, the 1 words should be between double quotes.",1,,,"""fly!""","a sign written on it ""fly!"""
"one sentence of 3 words about donut, the 3 words should be between double quotes.",3,,,"""deliciously sweet treat""","a sign written on it ""deliciously sweet treat"""
"one sentence of 3 words about parking meter, the 3 words should be between double quotes.",3,,,"""pay for parking""","a sign written on it ""pay for parking"""
"one sentence of 2 words about skateboard, the 2 words should be between double quotes.",2,,,"""extreme sport""","a sign written on it ""extreme sport"""
"one sentence of 3 words about bowl, the 3 words should be between double quotes.",3,,,"""rolling down lanes.""","a sign written on it ""rolling down lanes."""
"one sentence of 3 words about elephant, the 3 words should be between double quotes.",3,,,"""large gray mammal""","a sign written on it ""large gray mammal"""
"one sentence of 3 words about spoon, the 3 words should be between double quotes.",3,,,"""spoon is shiny.""","a sign written on it ""spoon is shiny."""
"one sentence of 1 words about tie, the 1 words should be between double quotes.",1,,,"""tieing!""","a sign written on it ""tieing!"""
"one sentence of 3 words about horse, the 3 words should be between double quotes.",3,,,"""horse are majestic.""","a sign written on it ""horse are majestic."""
"one sentence of 1 words about boat, the 1 words should be between double quotes.",1,,,"""sail!""","a sign written on it ""sail!"""
"one sentence of 1 words about skis, the 1 words should be between double quotes.",1,,,"""sliding!""","a sign written on it ""sliding!"""
"one sentence of 1 words about snowboard, the 1 words should be between double quotes.",1,,,"""thrilling!""","a sign written on it ""thrilling!"""
"one sentence of 1 words about zebra, the 1 words should be between double quotes.",1,,,"""striped!""","a sign written on it ""striped!"""
"one sentence of 2 words about car, the 2 words should be between double quotes.",2,,,"""fast driving""","a sign written on it ""fast driving"""
"one sentence of 3 words about bus, the 3 words should be between double quotes.",3,,,"""crowded, smelly, noisy.""","a sign written on it ""crowded, smelly, noisy."""
"one sentence of 2 words about baseball bat, the 2 words should be between double quotes.",2,,,"""wooden bat""","a sign written on it ""wooden bat"""
"one sentence of 3 words about pizza, the 3 words should be between double quotes.",3,,,"""pizza is yummy!""","a sign written on it ""pizza is yummy!"""
"one sentence of 2 words about sink, the 2 words should be between double quotes.",2,,,"""dirty sink""","a sign written on it ""dirty sink"""
"one sentence of 1 words about cup, the 1 words should be between double quotes.",1,,,"""cup!""","a sign written on it ""cup!"""
"one sentence of 3 words about sandwich, the 3 words should be between double quotes.",3,,,"""tasty sandwich treat""","a sign written on it ""tasty sandwich treat"""
"one sentence of 3 words about suitcase, the 3 words should be between double quotes.",3,,,"""pack it lightly.""","a sign written on it ""pack it lightly."""
"one sentence of 2 words about sheep, the 2 words should be between double quotes.",2,,,"""fuzzy sheep""","a sign written on it ""fuzzy sheep"""
"one sentence of 3 words about surfboard, the 3 words should be between double quotes.",3,,,"""surf's up dude!""","a sign written on it ""surf's up dude!"""
"one sentence of 3 words about hot dog, the 3 words should be between double quotes.",3,,,"""tastes delicious!""","a sign written on it ""tastes delicious!"""
"one sentence of 1 words about bicycle, the 1 words should be between double quotes.",1,,,"""cycling!""","a sign written on it ""cycling!"""
"one sentence of 3 words about wine glass, the 3 words should be between double quotes.",3,,,"""elegant wine vessel.""","a sign written on it ""elegant wine vessel."""
"one sentence of 3 words about snowboard, the 3 words should be between double quotes.",3,,,"""snowboard is fun.""","a sign written on it ""snowboard is fun."""
"one sentence of 3 words about sink, the 3 words should be between double quotes.",3,,,"""dirty dishes sink.""","a sign written on it ""dirty dishes sink."""
"one sentence of 1 words about potted plant, the 1 words should be between double quotes.",1,,,"""green!""","a sign written on it ""green!"""
"one sentence of 2 words about zebra, the 2 words should be between double quotes.",2,,,"""striped mammal""","a sign written on it ""striped mammal"""
"one sentence of 3 words about mouse, the 3 words should be between double quotes.",3,,,"""tiny, furry creature""","a sign written on it ""tiny, furry creature"""
"one sentence of 3 words about motorcycle, the 3 words should be between double quotes.",3,,,"""ride a motorcycle""","a sign written on it ""ride a motorcycle"""
"one sentence of 3 words about bench, the 3 words should be between double quotes.",3,,,"""sitting on bench""","a sign written on it ""sitting on bench"""
"one sentence of 2 words about sink, the 2 words should be between double quotes.",2,,,"""dirty sink""","a sign written on it ""dirty sink"""
"one sentence of 2 words about keyboard, the 2 words should be between double quotes.",2,,,"""input device""","a sign written on it ""input device"""
"one sentence of 1 words about stop sign, the 1 words should be between double quotes.",1,,,"""stop!""","a sign written on it ""stop!"""
"one sentence of 2 words about pizza, the 2 words should be between double quotes.",2,,,"""tastes delicious!""","a sign written on it ""tastes delicious!"""
"one sentence of 2 words about elephant, the 2 words should be between double quotes.",2,,,"""gentle giant""","a sign written on it ""gentle giant"""
"one sentence of 2 words about handbag, the 2 words should be between double quotes.",2,,,"""stylish accessory"".","a sign written on it ""stylish accessory""."
"one sentence of 3 words about parking meter, the 3 words should be between double quotes.",3,,,"""pay for parking.""","a sign written on it ""pay for parking."""
"one sentence of 2 words about parking meter, the 2 words should be between double quotes.",2,,,"""pay parking""","a sign written on it ""pay parking"""
"one sentence of 1 words about banana, the 1 words should be between double quotes.",1,,,"""banana!""","a sign written on it ""banana!"""
"one sentence of 2 words about skis, the 2 words should be between double quotes.",2,,,"""snow gliding""","a sign written on it ""snow gliding"""
"one sentence of 1 words about toaster, the 1 words should be between double quotes.",1,,,"""toasted!""","a sign written on it ""toasted!"""
"one sentence of 3 words about zebra, the 3 words should be between double quotes.",3,,,"""striped equine mammal""","a sign written on it ""striped equine mammal"""
"one sentence of 2 words about sink, the 2 words should be between double quotes.",2,,,"""dirty sink""","a sign written on it ""dirty sink"""
"one sentence of 2 words about sink, the 2 words should be between double quotes.",2,,,"""drain clogged.""","a sign written on it ""drain clogged."""
"one sentence of 3 words about surfboard, the 3 words should be between double quotes.",3,,,"""surf's up dude!""","a sign written on it ""surf's up dude!"""
"one sentence of 2 words about keyboard, the 2 words should be between double quotes.",2,,,"""typing tool""","a sign written on it ""typing tool"""
"one sentence of 1 words about surfboard, the 1 words should be between double quotes.",1,,,"""surfboard!""","a sign written on it ""surfboard!"""
"one sentence of 1 words about truck, the 1 words should be between double quotes.",1,,,"""trucking!""","a sign written on it ""trucking!"""
"one sentence of 2 words about skis, the 2 words should be between double quotes.",2,,,"""snow gliding""","a sign written on it ""snow gliding"""
"one sentence of 1 words about horse, the 1 words should be between double quotes.",1,,,"""gallop!""","a sign written on it ""gallop!"""
"one sentence of 1 words about wine glass, the 1 words should be between double quotes.",1,,,"""elegant""","a sign written on it ""elegant"""
"one sentence of 1 words about bottle, the 1 words should be between double quotes.",1,,,"""bottle""","a sign written on it ""bottle"""
"one sentence of 2 words about spoon, the 2 words should be between double quotes.",2,,,"""spoonfuls tasty""","a sign written on it ""spoonfuls tasty"""
"one sentence of 1 words about tennis racket, the 1 words should be between double quotes.",1,,,"""racquets!""","a sign written on it ""racquets!"""
"one sentence of 2 words about baseball glove, the 2 words should be between double quotes.",2,,,"""catching glove""","a sign written on it ""catching glove"""
"one sentence of 3 words about bottle, the 3 words should be between double quotes.",3,,,"""refillable liquid vessel.""","a sign written on it ""refillable liquid vessel."""
