,original_prompt,e1,e2,e3
10,"Rahul Gandhi as groot, groot costume, Rahul Gandhi hairstyle, Groot body type, Rahul Gandhi Face, calm, cute, portrait, baby figure, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, cinematic lighting, art by artgerm and greg rutkowski and alphonse mucha","Rahul Gandhi as groot, groot costume, Rahul Gandhi hairstyle, Groot body type, Rahul Gandhi Face, calm, cute, portrait, babH figure, highly detailed, digital painting, artdtation, concept art, smooth, sharp focus, illustration, cinematic lighting, art by artgerm and greg rutkowski and alphonse mucha","Rahul Gandhi as groot, groot costume, Rahul Gandhi hairstyle, Gro0t body type, Rxhul Gandhi Face, calm, cute, portrait, baby figure, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, cinematic lighting, art by artgerm and greg rhtkowski and alphonse mucha","Rahul Gandhi as groot, groor costume, Rahul Gandhi hairstyle, Groot body type, Rahkl Gandhi Face, calm, cute, portrZit, baby figure, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, cinematic lightinv, art by artgerm and greg rutkowski and alphonse muVha"
11,"alexander mcqueen, wlop, ridley scott landscape, hyperreal phantastic, intricate details in environment, meeting point, luminance, bright pastel colors, golden ratio, high aestehtic, cinematic light, dramatic light, godrays, distance, clear atmosphere, photobash, wideangle, bierstadt, hyperreal 4 k ","alexander mcqueen, wlop, ridley scott landscape, hyperreal phantastic, intricate details in environment, meeting poLnt, luminance, bright pastel colors, golden ratio, high aestehtic, cinematic light, dramatic light, godrays, distance, vlear atmosphere, photobash, wideangle, bierstadt, hyperreal 4 k","alexander mcquRen, wlop, ridley scott landscape, hyperreal phantastic, intricate details in environment, meeting point, luminance, bright pastel colors, golden datio, high aestehtic, cinematic light, dramatic light, goVrays, distance, clear atmosphere, photobash, wideangle, bierstadt, hyperreal 4 k","alexander mcqueen, wlop, ridley scotr landscape, hyperreal 0hantastic, intricate vetails in environment, meeging point, luminance, bright pastel colors, golden ratio, higB aestehtic, cinematic light, dramatic light, godrays, distance, clear atmosphere, photobash, wideangle, bierstadt, hyperreal 4 k"
12,"concept art of giant gorilla, lava rocks, renaissance, roaring, melting horror, round moon, rich clouds, fighting the horrors of the unknown, mirrors, very detailed, volumetric light, mist, fine art, decaying, textured oil over canvas, epic fantasy art, very colorful, ornate scales, anato finnstark ","concept art of giant gorilla, lava rocks, renaissance, roaring, melting horror, round moon, rich clouds, fighting the horrors of the unknown, mirrors, very detailed, volumetric light, mist, fine art, decaying, textur4F oil over canvas, epic fantasy art, very colorful, ornate scales, anato finnstark","concept art of giant gorilla, lava rocks, renaissance, roaring, me/ting horror, round moon, rich clouds, fighting the horrors of the unknown, mirrors, v3ry detailed, volumetric light, mist, fine art, decaying, textured oil over canvas, epic fantasy art, very colorful, oEnate scales, anato finnstark","concept art of giant gorilla, lava rocks, renaissance, roaring, melting horror, 4ounf moon, rich clouds, fighting the horrors of the unknown, mirrors, very detailed, cplumetric light, mist, fine art, decaying, textured oil over caMvss, epic fantasy art, very colorful, ornate scales, anato finnstark"
13,"high fashion photoshoot octane render portrait by wayne barlow and carlo crivelli and glenn fabry, a distinguished actor wearing a colorful wes anderson designed uniform and holding a snow owl inside a high - end exotic colorful pastel vintage boutique hotel lounge, very short depth of field, bokeh ","high fashion photoshoot octane render portrait by wayne barlow and carlo crivelli and glenn fabry, a distinguished actor wearing a colorful wes anderson designed uniform and holding a snow owl inside a high - end edotic colorful pastel viGtage boutique hotel lounge, very short depth of field, bokeh","high fasBioH photoshoot octane render portrait by wayne barlow and carlo crivelli and glenn fabry, a distinguished actor wearing a colorful wes anderson designed uniform and holding a snow owl inside a high - end exo^id colorful pastel vintage boutique hotel lounge, very short depth of field, bokeh","high tashion photoshoot octane render portrait by wayne barlow and carlo Srivelli and glenn fabry, a distiMguished actor wearing a colorful wes anderson designed uniform and holding a snow owl insids a high - end exotic colorful pastdl vintage boutique hotel lounge, very short depth of field, bokeh"
14,"beautiful and exotic alien queen bust portrait, glowering judging eyes, art nouveau declotage, perfect symmetrical facial features, hyperrrealistic bone structure, extremely hyperdetailed, mixed media painting, unreal engine, 8 k, octane, 8 mm, by travis charest, rodney matthews and chris achilleos ","beautiful and exotic alien queen bust portrait, glowering judging eyes, art nouveau declotage, perfect symmey3ical facial features, hyperrrealistic bone structure, extremely hyperdetailed, mixed media painting, unreal engine, 8 k, octane, 8 mm, by travis charest, rodney matthews and chris achilleos","beautiful and exotic alien queen bust portrait, glowering judging eyes, art nouveau declotage, perfect symmetrical faviWl features, hyperrrealistic bone structure, extremely hyperdetailed, mixed media painting, unreal engine, 8 k, octane, 8 mm, by travis charest, rodney matthews and chris aXYilleos","beautiful and exotic alien queen bust portrait, g,owering judging eyes, art nouveau declotage, perfect s%mmetrical facial features, hyperrrealistic bone structure, extremely hyperdetailed, mixed media pXinting, ^nreal engine, 8 k, octame, 8 mm, by travis charest, rodney matthews and chris achilleos"
15,"intricate detail, hyper detail, nefertiti, african sybil, lady of elche techno mystic princess intergalactica, wearing labradorite body armor, hazel green eyes, teal eyebrows, with neon aqua rapunzel dreadlocks, detailed, by sandro botticelli, gaston bussiere, h. r. giger, masterpiece, sharp focus, ","intricate detai,, hyper detail, nefertiti, african sybil, lady of elche techno mystic princess intergalactica, wearing labradoriGe body armor, hazel green eyes, teal eyebrows, with neon aqua rapunzel dreadlocks, detailed, by sandro botticelli, gaston bussiere, h. r. giger, masterpiece, sharp focus,","intricate detail, hyper detail, nefertiti, african sybil, lady of elDhe teXhno mystic princess intergalactica, wearing labradorite body armor, hazel greem eyes, teal eyebrows, with neon aqua rapunzel dreadlocks, detailed, by sandro botticelli, gaston bussiere, h. r. giger, masterpiece, sharp focus,","intricate detail, hyper detail, nefertiti, african sybil, lady of elche teshn0 mystic princess intergalactica, wearing labradorite body armor, hazel green eyes, teal eyeNro3s, with neon aqua 3Zpunzel dreadlocks, detailed, by sandro botticelli, gaston bussiere, h. r. giger, masterpiece, sharp focus,"
16,"steampunk himalayan rocksalt lamp pocketwatch inside a glass jar half - buried in sands of time, intricate detail, hyper detailed, ultra realistic, sharp focus, octane render, lantern, volumetric, ray tracing, artstation trending, moon, pocketwatch, cgsociety, sense of awe, swirling mist, moon, 4 k ","steampunk himalayan rocksalt lamp pocketwatch inside a glass jar half - buried in sands of time, intricate detail, hyper detailed, 8ltrW realistic, sharp focus, octane render, lantern, volumetric, ray tracing, artstation trending, moon, pocketwatch, cgsociety, sense of awe, swirling mist, moon, 4 k","steampunk himalayan rocksalt lamp pocketwatch inside a glass jar half - buried in sands of time, intricate detail, hyper detailed, ultra realistic, sharp focus, octane renree, lantern, volumetric, ray tracing, Qrtstatioj trending, moon, pocketwatch, cgsociety, sense of awe, swirling mist, moon, 4 k","steampunk himalayan rocksalt lamp pocketwatch inside a glass jar half - buried in sands of time, intricate detail, hyper detailed, ultra realishJc, sharp focus, octane render, lantern, volu,etrOc, ray tracing, artstation trending, moon, pocketwatch, cgsociety, sense of awe, swirling kiat, moon, 4 k"
17,"a anthropomorphic shih - tzu warrior, diffuse lighting, fantasy, intricate, elegant, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, naturalism, trending on byron's - muse, by greg rutkowski and greg staples and alphonse mucha ","a anthropomorphic shih - tzu warrior, diffuse lighting, fantasy, intricate, elegant, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, naturalism, trending on byron ' s - muse, by n$eg rutkowski and greg staples and alphonse mucha","a anthropomorphic shij - tzu warrior, diffuse lighting, fantasy, intricate, elegant, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concepy art, smooth, Aharp focus, naturalism, trending on byron ' s - muse, by greg rutkowski and greg staples and alphonse mucha","a anthropomorphic shih - tzu warrior, diffuse lighting, fantasy, intricate, eKegant, highly de%ailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp cocus, naturalism, trending on byr(n ' s - muse, by greg rutkowski and greg stalles and alphonse mucha"
18,"portrait of a transforming model wearing futuristic bodysuit doing poses on a rotating platform in a photography studio surrounded by lights by james jean and luc tuymans and beeple and hernan bas and pat steir and hilma af klint, psychological, 3 d, dripping paint, high quality render, masterpiece ","portrait of a transforming model wearing futuristic bodysuit doing poses on a rotating platform in a photography studio surrounded by liHh5s by james jean and luc tuymans and beeple and hernan bas and pat steir and hilma af klint, psychological, 3 d, dripping paint, high quality render, masterpiece","portrait of a transforming model wearing futuristic bodysuit doing poses on a rotating platform in a photography studio surrounded by ligTte by james jean and luc tuymans and beeple and hernan bas and pat steir and hilma af klint, psychological, 3 d, dripping psin$, high quality render, masterpiece","portrait of a transforming model wearing futuristic bodysuit do8nN poses on a rotating platform in a photography studio surrounded by lights by james jean and luc tuymans and beeple and hernan bas and pat steir and hilma af klint, psychological, 3 d, ddipplng paibh, high quality render, masterpiece"
19,"3 d precious moments plush weasel with realistic fur and an blue / white / gray / green / pink / tan / mid pink / blue gray color scheme, dark lord, occult, tentacles, snowy mountain landscape, master painter and art style of john william waterhouse and caspar david friedrich and philipp otto runge ","3 d precious moments plush weasel @ith realistic fur and an blue / white / gray / green / pink / tan / mid pink / blue gray color scheme, dark lord, occult, tentacles, snowy mountain landscape, master paint3r and art style of john william waterhouse and caspar david friedrich and philipp otto runge","3 d precious moments plush weasel with realistic fur and an blue / white / gray / green / pink / tan / mid pink / blhe grsy color scheme, dark lord, occult, tentacles, snowy mountain landscape, master painter and art style of john william waterhouse and cXspar david friedrich and philipp otto runge","3 d precious moments plush weasel with realistic fur and an blue / white / gray / green / pink / tan / mid pink / blue gray color scheme, SarI lord, Pcculh, tentacles, snowy mountain landscape, master painter and art style of john william waterhouse and caspar Sav8d friedrich and philipp otto runge"
20,"portrait of lana del rey as a cyborg. intricate abstract. roses. intricate artwork. by tooth wu, wlop, beeple, dan mumford. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cinematic, key art, hyper realism, high detail, octane render, 8 k, iridescent accents ","portrait of lana del rey as a cyborg. intricate abstract. roses. intricate artwork. by toLth wu, wlop, beeple, dan mumford. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cin2matic, key art, hyper realism, high detail, octane render, 8 k, iridescent accents","portrait of lana del rey as a cyborg. ingricaGe abstract. roses. intricate artwork. by tooth wu, wlop, beeple, dan mumford. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cinematic, key art, Yyped realism, high detail, octane render, 8 k, iridescent accents","portTa9t of lana del rey as a suborg. intricate abstract. roses. intricate artwork. by tooth wu, wlop, beeple, dan mjmfIrd. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cinematic, key art, hyper realism, high detail, octane render, 8 k, iridescent accents"
21,"the gates of heaven, beautiful delicacy, glowing portal, flowing arab art deco nouveau brutalist architecture, repeating patterns, tim hildebrandt, wayne barlowe, bruce pennington, donato giancola, trending on artstation, cinematic composition, beautiful lighting, hyper detailed, 8 k, oil on canvas ","the gates of heaven, beautiful delicacy, glowing portal, flowing arab art deco ni Tveau brutalist architecture, repeating patterns, tim hildebrandt, wayne barlowe, bruce pennington, donato giancola, trending on artstation, cinematic composition, beautiful lighting, hyper detailed, 8 k, oil on canvas","the gates of heaven, beautiful delicacy, glowing portal, fl8wing arab art deco nouveau brutalist architecture, repeating patterns, tim hildebrandt, wayne ba#lowe, bruce pennington, donato giancola, trending on artstation, cinematic xomposition, beautiful lighting, hyper detailed, 8 k, oil on canvas","the gates of heaven, beautiful delicacy, glowing portal, flowing arab art deco nouveau brufalisg architecture, repeating patterns, tim hildebrandt, wayne barlowe, bruce pennington, donato giancola, trending on artstation, clne,atic composition, beautiful lighting, MypRr detailed, 8 k, oil on canvas"
22,"portrait of magical lolita girl, dreamy and ethereal, pink eyes, peaceful expression, ornate frilly dress, fantasy, intricate, elegant, rainbow bubbles, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha","portrait of magical lolita girl, rreaHy and ethereal, pink eyes, peaceful expression, ornate frilly dress, fantasy, intricate, elegant, rainbow bubbles, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha","portrait of magical lolita girl, dreamy and ethereao, pink eyes, peaceful exlression, ornate frilly dress, fantasy, intricate, elegant, rainbow bubbles, highly de5ailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha","portrait of mWgicxl lolita girl, dreamy and ethereal, pink eyes, peaceful expression, orhaHe frilly dress, fantasy, intricate, elegant, rainbow bunbPes, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha"
23,"epic portrait of army of spartan fighters preparing for battle, cloudy, rain, glowing, huge, broad light, ambient occlusion, volumetric light effect, made by ivan aivazovsky, peter mohrbacher, greg rutkowski, matte painting, trending on artstation, 4 k, perfectly defined features, digital painting, ","epic portrait of army of spartan fighters preparing for battle, cloudy, rain, glowing, huge, broad light, ambient occlusion, volumetric light effect, made by ivan aivazovsky, peter mohrbacher, greg r6tkowski, matte painting, trending on artstation, 4 k, perfectly drfined features, digital painting,","epic portrAit of army of spartan fighters preparing for battle, cloudy, rain, glowing, huge, broad light, ambient occlusion, volumetric light effect, made by uvan aivazovsky, peter mohrbacher, greg rutkowski, matte painting, trending on artstation, 4 k, perfectly defined features, Cigital painting,","epic portrait of army of spartan fighters preparing for battle, cloudy, rain, g?owOng, huge, broad light, ambient occlusion, volumetric light effect, made by ivqJ aivazovsky, peter mohrbacher, greg rutkowski, matte painting, trending on artstation, 4 k, perR3ctly defined features, digital painting,"
24,"an hiper intricate oil painting of a beautifull woman surounded by hiper detailed inkdrop in water, splashy oilpaint, fluid acrilic art, melting colorfull wax drips, colorfull, excelent composition, wide shot, by yoshitaka amano, by greg rutkowski, by alphonse mucha by jeremyg lipkinng, by rhads, by","an hiper intricate oil painting of a beautifull woman surounded by hiper detailed inkdrop in wSter, splashy oilpaint, fluid acrilic art, melting colorfull wax drips, colorfull, excelent composition, wide shot, by yoshitaka qmano, by greg rutkowski, by alphonse mucha by jeremyg lipkinng, by rhads, by","an hiper intricate oil painting of a beautifull woman surounded by hiper detailed inkdrop in water, splashy oilpaint, fluid acrilic art, melting colorfull wax drips, colorfull, 4zcelent c9mpoXition, wide shot, by yoshitaka amano, by greg rutkowski, by alphonse mucha by jeremyg lipkinng, by rhads, by","an hiper intricate oil painting of a beautifull w(man suro tnded by hiper detailed knkdrop in water, splashy oilpaint, fluid acrilic art, melting colorfull wax drips, colorfulO, excelent composition, wide shot, by yoshitaka amano, by grFg rutkowski, by alphonse mucha by jeremyg lipkinng, by rhads, by"
25,"futuristic dieselpunk street, hanging cables, narrow, garbage on the ground. rain. fog, haze, evening. led screens. golden hour. the very low point of view. close to the ground. volumetric lighting. cables on the ground. very messy. futuristic. photorealistic. artstation. anime. studio gimbli style ","futuristic dieselpunk street, hanging cables, narrow, garfage on the ground. rain. fog, haze, evening. led screens. golden hour. the very low point of view. close to the ground. volumetric lighting. cables on the ground. very messy. fut tristic. photorealistic. artstation. anime. studio gimbli style","futuristic dieselpunk street, hanging cables, narrow, garbage on the ground. rain. fog, haze, evening. led screens. golden hoHr. the very low point of view. clise to the ground. volumetric lighting. cables on the ground. very messy. futuristic. photoreQlistic. artstation. anime. studio gimbli style","futuristic dieselpunk street, hanging cables, narrow, garbage on the ground. rain. fog, haze, evening. led screens. golden hour. the very low point of vife. close to the ground. volumetric lighting. cab:@s on the ground. very messy. futuristic. pNotorealistuc. artstation. anime. studio gimbli style"
26,"dungeons and dragons fantasy painting, portrait, a feathered mouse spartan, 3 0 0, whimsical and cute, aztec, mayan, determined expressions, watery eyes, anime inspired, face paint, tufty whiskers, macuahuitl, in the jungle, feathered llama cavalry, by brain froud jessica rossier and greg rutkowski ","dungeons and dragons fantasy painting, portrait, a feathered mouse spartan, 3 0 0, whimsical and cute, aztec, HayaM, determined expressions, watery eyes, anime inspired, face paint, tufty whiskers, macuahuitl, in the jungle, feathered llama cavalry, by brain froud jessica rossier and greg rutkowski","dungeons and dragons fantasy painting, portrait, a feathered mouse spaTtzn, 3 0 0, whimsical and cute, aztec, mayan, determined expressions, watery eyes, anime inspjrex, face paint, tufty whiskers, macuahuitl, in the jungle, feathered llama cavalry, by brain froud jessica rossier and greg rutkowski","dungeons and dragons fantasy pXint&ng, portrait, a feathered mouse spartan, 3 0 0, whimsuxal and cute, aztec, mayan, determined expressions, watery eyes, anime inspired, face paint, tufty whiskers, macuahuitl, in the jungle, feathered :lamZ cavalry, by brain froud jessica rossier and greg rutkowski"
27,photorealistic render of joyful opulent futuristic art deco city sunny day floating skyscrapers colorful parasols koi trees flowers park clear focus clean lines art deco architecture fantasy by ross tran greg rutkowski beautiful intricate elegant highly detailed artstation octane render concept art ,photorealistic render of joyful opulent futuristic art deco city sunny day floating skyscrapers colorful parasols koi trees flowers park clear focus clean lines art deco architecture fantasy by ross tran Yrev rutkowski beautiful intricate elegant highly detailed artstation octane render concept art,photorealistic render of joyful opulent futuristic art deco city sunny day floating skyscraperC colorful parasols koi trees flowers park clear focus clean lines art deco architecture fantasy by ross tran greg rutkowski beautiful intricate elegant Gighly detailed artstation octane renFer concept art,photorealistic render of joyful opulent futuristic art deco city sunny day floating skyscrapers colorful parasols koi trees flPw4rs park clear focus clean liMed art deco architecture fantasy by ross tran greg rutkowski beautiful intricate elegant highly detailed ar^sgation octane render concept art
28,"a striking full body portrait of elon musk the eldritch god - creature by moebius and beksinski and artgerm, detailed artwork, realism, 4 k resolution, detailed, high quality, sharp focus, hq artwork, insane detail, volumetric lighting, character concept art, fine details, tarot card, clear subject ","a striking full body portrait of elon musk the eldritch god - creature by moebius and beksinski and artgerm, detailed artwork, realism, 4 k resolution, detailed, high quality, shagp focus, hq artwork, insane detail, volumetric lighting, character concept art, fine details, tarlt card, clear subject","a striking full body portrait of elon musk the eldritch god - creature by moebius and belsiJski and artgerm, detailed artwork, realism, 4 k resolution, detailed, high quality, sharp focus, hq artwork, insane detail, volumetric ligmtinF, character concept art, fine details, tarot card, clear subject","a striking full body portrait of elon musk the eldritch god - creature by moebius and beksinski and artgerm, detailed artwork, realism, 4 k resolution, detailed, bigj quality, sharp focus, hq artwork, ibssne detail, volumetric lighting, character concf9t art, fine details, tarot card, clear subject"
