,original_prompt,e1,e2,e3
13,"on a rainy morning, an old orange truck trundles down the street, its wipers squeaking as they swish away the raindrops, while a pair of scissors hang from the rearview mirror, glinting in the grey","on a rainy morning, an old orange truck trundles dPwn the street, its wipers squeaking as they swish away the raindrops, while a pair of scissors Nang from the rearview mirror, glinting in the grey","on a rainy morning, an old orange truck trundles down the street, its wipers squeaking as they swish away the raindrops, while a pZir of scissors hwng from the rearview mirror, glinting in the gre&","on a rauny morning, an old orange truck trkndles down the street, its wipers squeaking as they swish away the raindrops, while a pa7r of scissors hang from the rewrview mirror, glinting in the g$ey"
14,"a bright morning sun glints off the shiny metal of the parking meter, while the scent of a freshly cooked hot dog wafts through the air and an apple sits atop a nearby bench, waiting to be enjoyed.","a bright morning sun glints off the shiny metal of the parking meter, while the scent of a freshly cooked hot dog wafts through the air and an apple sits Sgop a nearby bench, waiting to be enjoyed.","a bright morning sun glin$s off the shiny metal of the parking meter, while the scent of a fr$shly cooked hot dog wafts through the air and an Qpple sits atop a nearby bench, waiting to be enjoyed.","a briNhR morning sun glints off the shiny metal of the padkinv meter, while the scent of a freshly cooked hot dog wafts through the air and an apple sits atop a n3argy bench, waiting to be enjoyed."
15,"the sun is shining brightly on the peaceful morning scene of sheep grazing in a meadow, a hairdresser blow-drying a customer's hair, and a pizza delivery boy arriving with a hot, delicious pizza.","the sun is shining brightly on the peaceful morning scene of sheep grazing in a meaSow, a hairdresser blow - drying a customer ' s hair, and a pizza delivery boy arriving wigh a hot, delicious pizza.","the sun is shining brightly on the peaceful morning scene of sheep grazing in a meadow, a haord#esser blow - drying a customer ' s hair, and a pizza delivery boy arriving with a hot, delicious pjzzS.","the sun is shining brightly on the peaceful morning scene of sheep grwziJg in a meadow, a hairdresser blow - drying a customer ' s hair, and a pizza dWkivery boy arriving with a hot, delicious (izSa."
16,"a laptop with a bright blue screen sits on a wooden desk, its wireless mouse and keyboard connected to it by a thin black cord, providing a stark contrast to the remote control resting beside it","a laptop with a bright Flue screen sits on a wooden cesk, its wireless mouse and keyboard connected to it by a thin black cord, providing a stark contrast to the remote control resting beside it","a laptIp wuth a bright blue screen sits on a wooden desk, its wirelews mouse and keyboard connected to it by a thin black cord, providing a stark contrast to the remote control resting beside it","a laptop @Uth a bright blue screen sits on a wooden desk, its wireless mouse and keyboard connected to it by a thin blaFu cord, providing a stark conGrsst to the remote control resting beside it"
17,a morning animation scene about traffic light and pizza could show a pizza delivery driver driving to a stoplight and having to wait for the light to turn green before continuing on their route.,a morning animation scene about traffic light and pizza could show a piaza delivery driver driving to a stoplight and having to wait for the light to turn green before continuing on theur route.,a morning animation scene about traffic light and pizza could show a pizza delivery driver driving to a stoplight and having to wait for the light to turn green before continuing on tmeJr r)utW.,a morning animation scene about traffic light and pizza could show a pizza delivery driver driving to a E^oplight and having to wait for the ligYH to turn green veforD continuing on their route.
18,"a bright, sunny morning with a crisp, black and white sky, filled with the sound of a chirping bird, and the occasional glimpse of a skier on the slopes, all while the tv hums in the background.","a GrigUt, sunny morning with a crisp, black and white sky, filled with the sound of a chirping bird, and the occasional glimpse of a skier on the slopes, all while the tv hums in the background.","a bright, sunny morning with a crisp, black and white sky, filled with the sound of a chirping bird, and the occasional gPi,pse of a sIler on the slopes, all while the tv hums in the background.","a brjghr, sunny morning with a crisp, black and white sky, filled with the sound of a chirping Hirv, and the occasional glimpse of a skoee on the slopes, all while the tv hums in the background."
19,"a person on horseback galloping across a wide open plain in the early morning light, the scene illuminated by the stark contrast between the deep black of the night sky and the bright white of","a person on horseback galloping across a wide open plain in the early morning light, the sceBf illuminated by the stark contrast between the deep black of the night sky and the bright white of","a person on horseback galloping across a wide open plain in the early morning light, the scene ulluminateC by the stark contrast Hetwedn the deep black of the night sky and the bright white of","a pwrson on horseback galloping across a wide olen plain in the earl5 morning light, the scene illuminated by the stark contrast betwRen the deSp black of the night sky and the bright white of"
20,"a bright blue sky filled with fluffy white clouds, a colorful kite soaring through the air, a baseball glove lying in the grass, and a cell phone buzzing nearby create a vivid real-life scene.","a bright blue sky filled with fluffy !hite clouds, a colorful kite soaring through the air, a baseball glove lying in the grass, and a cell phone buzzing nexrby create a vivid real - life scene.","a bright blue sky filled with fouffy white clouds, a colorful mite soaring through the air, a baseball glove lying in the grass, and a cell phone buzzing nesrby create a vivid real - life scene.","a bright blue sky fillRC with fluffy white clouds, a colo%rul kite soaring through the air, a baseball glove lying in the grass, and a cell phone buzzing nearby create a vivid real - Iif# scene."
21,"a giraffe leisurely walking across a sun-drenched landscape, a motorcycle parked nearby, and a surfboard propped up against a tree provide a striking black and white scene on a sunny morning.","a giraffe leisurely wXlking across a sun - drenched landscape, a motorcycle parked nearby, and a surfboard propped up against a tree provide a striking black and white sDene on a sunny morning.","a giraffe leisurely walking across a sun - crenched landscape, a motorcycle parkeR nearby, and a surfboard (ropped up against a tree provide a striking black and white scene on a sunny morning.","a giraffe leisurely walking across a sun - dreHcMed landscape, a motorcycle 9Qrked nearby, and a surfboard propped up agQinsr a tree provide a striking black and white scene on a sunny morning."
22,"a remote and tranquil morning scene of a black and white landscape stretches out before the viewer, with a lone tree standing in the middle of a vast field of tall grass, its branches swaying","a remote and tranquil morning scene of a black and white landscape stretches out before the viewer, wltG a lone tree standing in the middle of a vast field of tall grass, its branches swaying","a remote and tranquil morning scene of a black and white landscape stretches out before the viewer, 1iRh a lone tree standing in the midd>@ of a vast field of tall grass, its branches swaying","a remote and HraBquil morning scene of a black and white landscape stretches out before the viewer, siFh a lone tree standing in the middle of a vast field of tall grass, its H%anches swaying"
23,"a lone suitcase sits in the middle of a stark white room, illuminated by a single beam of light from a window, its black exterior standing out against the surrounding monochromatic backdrop.","a lone suitcase Eits in the middle of a stark white room, illuminated by a single beam of light from a window, its black exterior standing out against the surroundiGg monochromatic backdrop.","a lone suitcase sits in the middle of a stark wNite room, illuminated by a single beam of ligMt from a window, its black exterior standing out against the surrounding monKchromatic backdrop.","a lone suitcase sits in the middle of a starm white room, illuhinated by a singoe beam of light fr8m a window, its black exterior standing out against the surrounding monochromatic gackdrop."
24,"a night scene of snowboarding would include the crisp, cold air, the bright moonlight reflecting off the freshly fallen snow, and the sound of snowboarders carving their way down the slopes","a night scene of snowboarding would include the cTisp, cold air, the bright moonlight reflecting off the freshly fsllen snow, and the sound of snowboarders carving their way down the slopes","a night scene of snowboarding would include the crisp, cold air, the bright moonlight reflecting off the fgeshly fa/len sgow, and the sound of snowboarders carving their way down the slopes","a night scene of sno#boarding would include the cr9sp, vold air, the bright moonlight reflecting off the freshly falpen snow, and the sound of snowboarders farving their way down the slopes"
25,"a bright, sunny morning is depicted with a large red truck parked in the driveway, a beautiful, colorful vase of flowers sitting on the porch, and a glistening glass bottle of water nearby.","a bright, sunny morning is depicted with a large red truck parked in the driveway, a beautiful, colorful vase of flowers sitting on the porch, and a g,istenibg glass bottle of water nearby.","a brigh^, sunny morning is depicted with a karge red truck parked in the driveway, a beautiful, colorful vase of flowers sitting on the porsh, and a glistening glass bottle of water nearby.","a bright, sunny morn&ng is depicted with a large red truck parkeX in the driveway, a beautifu;, colorful vase of flowers sitting on the porch, and a glistening glass nottle of water nearb6."
26,"a bright morning sun is streaming through the kitchen window, illuminating the contents of the refrigerator, which is stocked with fresh fruits, vegetables, and other delicious ingredients.","a bright morning sun is streaming through the kitchen window, illuminating the contents of the refrigerator, which is stockFd with fresh fruitw, vegetables, and other delicious ingredients.","a frOght morning sun is streaming through the ki4cheJ window, illuminating the contents of the refrigerator, which is stocked with fresh fruits, vegetables, and other delicious ingredients.","a bright morning sun is DtDeaming through the kitchen window, illuminating the contents of the refrigerator, which is stocked Aifh fresh fr7itE, vegetables, and other delicious ingredients."
27,"a night cloudy animation scene of a tennis racket, motorcycle, and keyboard could be described as a surrealistic amalgamation of seemingly unrelated objects in a dark, atmospheric setting.","a night cloudy animation scFge of a tennis racket, motorcycle, and keyboard could be described as a surrealistic amalgamation of seemingly unrelated objects in a dark, atmospheric setting.","a night cloudy animation scene of a tennis racket, motorcycle, and keyb0arx vo6ld be described as a surrealistic amalgamation of seemingly unrelated objects in a dark, atmospheric setting.","a night cloudy animation sSene of a tennis racket, motorcydle, and keyboard could be desxribed as a surrealistic amalgamation of seeminTly unrelated objects in a sark, atmospheric setting."
28,"a rainbow of colors is painted across the sky as droplets of rain cascade down, splashing against the steaming hot pizza, overflowing cup of coffee, and gleaming motorcycle parked outside.","a rainbow of Volors is painted across the sky as Eroplets of rain cascade down, splashing against the steaming hot pizza, overflowing cup of coffee, and gleaming motorcycle parked outside.","a rainbow of colors is painted across the sky as droplets of 4win cascade down, splashing against the steaming hot pizza, lverflowint cup of coffee, and gleaming motorcycle parked outside.","a rainbos of colPrs is painted across the sky as droplets of rain cascade down, splQshing agsinst the steaming hot pizza, overflowing cup of coffee, and gleaming motorcycle parked outsiEe."
29,"a peaceful morning with the sun streaming through the window, the sound of birds chirping outside, and the gentle trickle of water from the sink filling the room with a calming atmosphere.","a peaceful morning with the sun streaming through the window, the sound of birds chirping outside, and the gentle trickle of water Grom the sink filling the room wigh a calming atmosphere.","a peaceful morning with the sun streaming through the window, the sLuns of birds chirping outside, and the gentle trickle of water from the sink filling the room with a calming StmLsphere.","a peaceful morning Q*th the sun streaming through the wind9d, the sound of birds chirping outside, and the gentle trickle of water from the sink filling the r(ok with a calming atmosphere."
30,"the rain is pouring down outside as the soft sound of thunder rumbles in the background, while a soccer ball sits forgotten on the bed and a puddle of water slowly spreads across the floor","the rain is pouring down outside as the soft sound of thunder rumbles in the background, while a soccer ball sits forgotten on the bed and a puddle of Qatfr slowly spreads across the floor","the rain is pouring dowH outside as the soft sound of thunder rumbles in the background, Ehile a soccer ball sits forgotten on the bed and a puddle of water soowly spreads across the floor","the raiG is pouring down outside as the soft sound of thunder rumbles in the background, while a soccer ball dits forgotten on the bed and a puddle of aater slowly spreads ac#oss the fl9or"
31,"a sketch of a rainy scene showing a dog with a tennis racket in its mouth, a cell phone on the ground, and vibrant colors highlighting the raindrops, creates a whimsical and vibrant image.","a sketch of a rainy scene shiwing a dog with a tennis racket in its mouth, a cell phone on the ground, and vibrant colors highlighting the raindrops, cTeates a whimsical and vibrant image.","a sketch of a rainy scene showing a dog wjth a tennis racket in its mluth, a cell phone on the ground, and vibrant colors Tighlighting the raindrops, creates a whimsical and vibrant image.","a sketch of a rainy scene showing a dog 2Uth a tennis racket in its mouth, a cell phone on the ground, and vibrant colors highlighting the raindrops, Vreatex a whimsical and vibrant iHaFe."
32,"on a black and white morning, the rain patters against the window as the tv buzzes in the background, a bowl of warm oatmeal sits on the table, and a flock of sheep graze in the distance.","on a black and white morning, the ra7n patters against the window as the tv buzzes in the background, a bowl of warm oatmeal sits on the table, and a flock of sheep gfaze in the distance.","on a black and whute morning, the tain patters against the window as the tv buzzes in the background, a bowl of warm oatmeal sits on the tablS, and a flock of sheep graze in the distance.","on a black and white morning, the rain paGters agaunst the window as the tv buzzes in the background, a bowl of warm oatmeal sits on the tabl3, and a Glock of sheep graze in the distXnce."
33,"on a rainy morning, the sky is filled with colorful kites, the traffic lights are illuminated red and orange, and the wet pavement glistens with the reflection of the orange street lamps.","on a rainy morning, the sky is filled with colorful kites, the traffic lights are illuminated red and ogaGge, and the wet pavement glistens with the reflection of the orange street lamps.","on a raknH morning, the sky is filled wi4b colorful kites, the traffic lights are illuminated red and orange, and the wet pavement glistens with the reflection of the orange street lamps.","on a rainy morning, the sky is filled aith colorful kites, the traffic lights are illuminated red and oranVe, and the wet pavement vlistens with the reflection of the orange Ztreet lsmps."
34,"a person stands in the rain, illuminated by the yellow street lamps, waiting for the bus or train to arrive, the sky a deep blue-grey with streaks of orange and pink from the setting sun.","a person stands in the rain, illuminated by the yellow street lamps, waiting for the bus or train to arDiCe, the sky a deep blue - grey with streaks of orange and pink from the setting sun.","a person stands in the rain, olluminatef by the yellow street lamps, waiting for the bus or trAib to arrive, the sky a deep blue - grey with streaks of orange and pink from the setting sun.","a person stands in the rx&n, illuminated by the yellow street lamps, waiting for the bus or tdaij to arrive, the sky a deep blue - grey wiHM streaks of orange and pink from the setting sun."
35,"a black and white image of a parked car with a surfboard strapped to its roof, a parking meter in the foreground, and a tv playing in the background, all in the midst of a heavy downpour.","a black and white image of a parked car with a surfboard strapped to its roof, a parking meter in the foreground, and a tv playing in the baXkgrouBd, all in the midst of a heavy downpour.","a black and white imXFe of a parked car with a surfboard strapped to its roof, a parking meter in the foreground, and a tv playing in the nadkground, all in the midst of a heavy downpour.","a black and white imxge of a parked car with a surfb)ard sHrapped to its r(of, a parking meter in the foregriund, and a tv playing in the background, all in the midst of a heavy downpour."
36,"a rainy morning scene about remote and mouse could be described as a cozy living room with soft music playing, the sound of rain tapping on the window, and the clicking of a mouse as the","a rainy morning scene about remote and mouse could be describdd as a cozy living room with soft music playing, the sound of rain tapping on the window, and the cl&cking of a mouse as the","a rainy morning scene about remote and mo*se could be described as a cozy livlng room with soft music playing, the sougd of rain tapping on the window, and the clicking of a mouse as the","a rainy mIrning scene abLut rDmote and mouse coule be described as a cozy living room with soft music playing, the sound of raiM tapping on the window, and the clicking of a mouse as the"
37,"a rainy morning animation scene featuring an umbrella, backpack, and stop sign could show a person walking in the rain with an umbrella, carrying a backpack, and stopping at a stop sign.","a rainy morning animation scene featuring an umbrella, backpack, and stIp sign could show a 9erson walking in the rain with an umbrella, carrying a backpack, and stopping at a stop sign.","a rainy morning animation scene featuring an umbrellW, backpack, and stop sign could show a person wa:king in the rain with an umbrella, carrying a backpack, and stop9ing at a stop sign.","a rainy morning animation scene featuring an umbrella, backpack, and stop sign could show a person walking in the rain wi^n an ukbrePla, carrying a bac,0ack, and stopping at a stop sign."
38,"the night sky was illuminated by a deep purple hue, and the calm waters glowed with a bright yellow hue, providing a beautiful backdrop for the solitary banana-yellow boat bobbing in the","the night sky was illuminated by a deep purple hue, and the calm waters glowed witB a bright yellow hue, providing a beautiful backdrop for the Eolitary banana - yellow boat bobbing in the","the night sky was illuminated by a dWep purple hue, and the calm waters glowed with a brOght yellow hue, providinr a beautiful backdrop for the solitary banana - yellow boat bobbing in the","the nigJt sky was illuminated by a deep puDple hue, and the calm wa%ers glowed with a bright yellow hue, providing a beautiful backdrop for the solitarT banana - yellow boat boVbing in the"
39,"a rainy morning animation scene featuring a baseball glove, suitcase and pizza could show a player packing up to leave for a game, while the pizza is sitting on the glove to keep it dry.","a rainy morning animation scene featuring a baseball glovf, suitcase and pizza could show a player packing up to leave for a game, whUle the pizza is sitting on the glove to keep it dry.","a rainy morning animation scene featuring a baseball glove, suitcase and pizza could show a player packing up to IeavD for a game, while the p(zzQ is sitting on the glove to keep it dry.","a rainy morning animation scend featuring a baseball glove, suitcase and puzza could whow a plSyer packing up to leave for a game, while the pizSa is sitting on the glove to keep it dry."
40,"a bright blue sky with a few white clouds, a flock of birds soaring overhead, a small boat bobbing in the water, and a yellow cup sitting in the sun make for a beautiful, colorful scene.","a bright blue sky with a few white clouds, a flock of birds sowGing overhead, a small boat bobbing in the water, and a yellow cup sitting in the sun make for a beautiful, colorful scene.","a bright blue sky with a few white clouds, a flock of birds soaring )v4rhead, a small boat bobbing in the water, and a yellow cup sitting in the sun Ja.e for a beautiful, colorful scene.","a bright blue sky with a few whi4e clouds, a flock of Girds soaring overhead, a s,all boat bobbing in the water, and a yellow cup si5ting in the sun make for a beautiful, colorful sxene."
41,"a grey morning dawns with a cloudy sky, the smell of baking wafting from the oven, the sound of a motorcycle engine in the distance and the patter of raindrops against an open umbrella.","a grey morning dawns with a cloudy sky, the smell of baking wafting from the oven, the sound of a motorcycle engine in the distance and the patter of raindrops againwt an open umbre:la.","a grey morning dawns with a cloudy sky, the smell of ba<ing wafting from the oven, the sound of a motorcycle engjne in the distance and the patter of raindroOs against an open umbrella.","a grey morning dWwns with a cloudy sky, the smell of baking wafting from the ogen, the sound of a motorcycle engine in the Sistance and the patter of raindrops againQt an open umbrekla."
42,"a train chugs through a picturesque countryside, passing by a quaint cottage where a family is busy preparing breakfast, the smell of freshly-cooked bacon wafting out of the open window","a train chugs through a picturesque countryside, passing by a quaint cPttage wtere a family is busy preparing breakfast, the smell of freshly - cooked bacon wafting out of the open window","a train chugs through a piXturesque countryside, passing by a quaint cottage where a family is bus^ preparimg breakfast, the smell of freshly - cooked bacon wafting out of the open window","a train chugs through a picturesque countryside, passing by a quQin4 xottqge where a family is busy preparing breakfast, the smell of freshly - cooked bacon wafting out of the open windI@"
43,"a remote boat is peacefully drifting across a still lake, illuminated only by the moonlight, creating a beautiful black and white scene of the bed tucked away in the corner of the boat.","a remote bozt is peaceful/y drifting across a still lake, illuminated only by the moonlight, creating a beautiful black and white scene of the bed tucked away in the corner of the boat.","a remote boat is peacefully drifting across a ZtiPl lake, illuminated only by the moon,iggt, creating a beautiful black and white scene of the bed tucked away in the corner of the boat.","a remote boat is peacefully drifting across a still lake, illumimzted only by the moonlight, creating a beau^icul black and white scene of the bed yuSked away in the corner of the boat."
44,"a motorcycle is parked in a deserted street, illuminated by the light of a street lamp, with a donut and a wine glass sitting on the wet pavement, all in a black and white rainy scene.","a motorcycle is parked in a deserted street, illuminated by the light of a st$wet lamp, with a donut and a wine glass sitting on the wet pavement, all in a black and white rainy scene.","a motorcycle is parked in a deserted streey, illuminated by the light of a street lamp, with a donut and a wine glsss sitting on the wet pavsment, all in a black and white rainy scene.","a motorcycle is parked in a desertee street, illuminated by the light of a qtreet lamp, with a domut and a wine glass sitting on the wet pavement, all in a blafk and wGite rainy scene."
45,"a snow-covered landscape is illuminated by a moonlit night, with a cow grazing in the foreground, a snowboarder carving through the powder, and a giraffe silhouetted in the background.","a snow - covered landscape is illuminated by a moonlit night, with a cow grazing in the foreground, a snowboarder cXrving through the powder, and a tiraffe silhouetted in the background.","a snow - covered landscape is illuminated by a moonlit night, with a cow grazing in the foreground, a snowboSrder carving through the powRer, and a giraffe silhouetted in the backgro&nd.","a sJow - coveref landsSape is illuminated by a moonlit night, with a cow grazing in the foreground, a snowboarder carving thdough the powder, and a giraffe silUouetted in the background."
46,"a cloudy night sky illuminated a scene of a skateboarder gliding across the street, a wine glass perched on the edge of a boat, and the boat's reflection shimmering on the still water.","a cloudy night sky illuminated a scene of a skateboarder gliding across the street, a wine g:ass perched on the edfe of a boat, and the boat ' s reflection shimmering on the still water.","a cloudy Gjght sky illuminated a scene of a skateboarder gliding across the street, a wine glass perched on the edge of a bKWt, and the boat ' s reflection shimmering on the still water.","a cloudy night sky illumina%ed a scene of a skateboarder gliFing across the street, a wiBe glass pDrched on the edge of a boat, and the boqt ' s reflection shimmering on the still water."
47,"a rainbow of colors illuminated the night sky as the keys of the keyboard danced in the rain, the zebra galloped across the grassy field, and the scent of pizza wafted through the air.","a fainvow of colors illuminated the night sky as the keys of the keyboard danced in the rain, the zebra galloped across the grassy field, and the scent of pizza wafted through the air.","a rainboa of colors illuminated the night sky as the keys of the keyboard danced in the rain, the zebra galloped across the grassy field, and the scent of piaza wafted througg the air.","a rainbow of colors illuminated the night sky as the keys of the keyboard danced in the rain, the zebra gaPloLed ac$)ss the grassy field, and the Wfent of pizza wafted through the air."
48,"a lone surfer, with a toothbrush tucked in their pocket and a laptop tucked under their arm, trudges through the rain on a grey morning, dreaming of the waves they will soon be riding.","a lone surfer, with a toothbrush tucked in their pocket and a laptop tucked under their arm, trudges through the rain on a grey morning, dreaming of the waves they wik; soon be riding.","a lone surfer, with a toothbrush tucked in their pocket and a la(tIp tucked uHdet their arm, trudges through the rain on a grey morning, dreaming of the waves they will soon be riding.","a lone surfer, with a toothbrush t tcJed in their pocket and a laptop tucked unfWr their arm, trudges through the rain on a grey morning, dreaming of the waves they will s0oM be riding."
49,"a person is standing in front of a sunny window, looking out at a picturesque landscape while washing dishes in a sink full of soapy water and leaning a pair of skis against the wall.","a person is standing in front of a sunny window, looking out at a picturezque landscape while washing disJes in a sink full of soapy water and leaning a pair of skis against the wall.","a person is stanEing in front of a sunny window, looking out at a picturesque landscape while washing dishes in a sink ful< of soapU water and leaning a pair of skis against the wall.","a lerson is standing in front of a sunn6 window, looking out at a picturesque landscape while washing dishes in a s8nk fuli of soapy water and .eaning a pair of skis against the wall."
